,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CashflowShareCapitalCash_sq,,,,,-100.00,,-100.00,,-99.90,,,
CashflowDividend,9000,0,,,,,,18430000,0,0,,
CashflowDividend_yy,,,,,-100.00,,,,,,,-100.00
CashflowDividend_sy,,,,,-74.36,,,,,,,-100.00
CashflowDividend_qq,,-100.00,,,,,,,-100.00,,,
CashflowDividend_sq,,-100.00,,,,,,,-100.00,,,
CashflowNetCashflow,-74000,-625000,2125000,12503000,-9119000,-2642000,11319000,-195000,-13808000,-54000,6129000,10652000
CashflowNetCashflow_yy,,,,,-12299.59,-322.73,432.78,-101.56,-51.41,97.95,-45.85,5574.72
CashflowNetCashflow_sy,,,,,51.55,-18.19,79.72,-31.68,-51.41,37.38,-11.62,50.17
CashflowNetCashflow_qq,,-749.68,439.98,488.51,-172.94,71.03,528.48,-101.72,-6996.76,99.61,11400.25,73.78
CashflowNetCashflow_sq,,132.93,-95.48,63.85,29.16,66.67,-2.18,-39.60,-31.58,97.18,-15.99,18.08
