,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3
IncomeShareholderNetProfit_yy,,,,,-369.32,-288.41,-16.69,66.44,121.94,171.06,334.54,256.45,407.16,145.17,-36.04,-440.90,-35.03,-65.78,-82.39,124.09,-62.52,83.07,1043.90,123.26,1481.90,16.55,29.72,-203.07,-88.35,1.24,-114.92,-2594.20,-559.70,-281.20,2413.00,66.35,60.36,-242.31,-108.52,117.93,98.83,99.98,94.08
IncomeShareholderNetProfit_sy,,,,,17.95,17.15,66.30,75.27,205.63,94.43,52.62,139.93,44.30,12.01,26.93,-8.39,-38.55,28.35,-25.75,37.16,-25.95,-6.98,-8.02,30.84,-15.19,-40.32,-10.84,8.02,-7.30,-29.09,-16.49,-61.07,-56.82,-6.64,0.91,69.83,22.27,7.80,33.23,-5.95,68.93,46.66,30.66
IncomeShareholderNetProfit_qq,,298.53,-198.81,-184.96,16.04,20.30,38.80,18.04,154.87,158.17,102.00,-45.33,77.89,24.80,-47.31,-391.41,133.90,-34.26,-72.88,298.54,-47.25,221.11,69.44,-22.22,273.79,-76.34,88.59,-161.80,142.23,105.67,-127.80,-11056.61,92.79,18.93,454.88,-262.32,91.51,-600.00,91.16,441.50,-100.56,88.24,-2550.00
IncomeShareholderNetProfit_sq,,50.41,43.82,-57.22,16.04,91.87,46.05,-6.21,3.10,35.36,22.72,5.39,5.57,1.11,13.71,-37.06,-67.63,67.35,-12.58,2.15,-50.72,130.89,5.99,7.74,-70.56,38.06,23.12,-7.88,-41.67,38.96,-10.28,-179.43,9.74,62.11,18.54,22.83,-68.11,43.86,16.88,48.32,-44.74,102.86,17.60
BalanceNoncurrentAssets,1030000,1045000,1008000,1672000,696000,612000,657000,1696000,1712000,5769000,5433000,5928000,6064000,5902000,5843000,5894000,5080000,5258000,,4343000,45059000,43103000,,44872000,71640000,20121000,,28137000,64157000,94487000,95042000,65745000,65405000,60746000,59980000,54339000,54274000,54024000,54058000,275000,275000,275000,275000
BalanceNoncurrentAssets_yy,,,,,-32.43,-41.44,-34.82,1.44,145.98,842.65,726.94,249.53,254.21,2.31,7.55,-0.57,-16.23,-10.91,-100.00,-26.31,786.99,719.76,,933.20,58.99,-53.32,,-37.29,-10.45,369.59,,133.66,1.95,-35.71,-36.89,-17.35,-17.02,-11.07,-9.87,-99.49,-99.49,-99.49,-99.49
BalanceNoncurrentAssets_sy,,,,,3.20,1.84,5.03,13.62,27.54,37.33,79.59,61.59,60.96,39.08,10.92,25.58,24.44,18.41,-0.10,9.29,10.25,14.18,,18.31,14.11,8.47,,-0.51,0.66,-1.30,,-2.27,-1.60,-0.99,-0.83,-4.16,-1.40,-0.16,-4.28,-1.64,-3.28,-1.24,2.56
BalanceNoncurrentAssets_qq,,1.46,-3.54,65.87,-58.37,-12.07,7.35,158.14,0.94,236.97,-5.82,9.11,2.29,-2.67,-1.00,0.87,-13.81,3.50,-100.00,,937.51,-4.34,-100.00,,59.65,-71.91,-100.00,,128.02,47.27,0.59,-30.83,-0.52,-7.12,-1.26,-9.40,-0.12,-0.46,0.06,-99.49,0.13,,
BalanceNoncurrentAssets_sq,,0.86,-100.00,3.80,-0.02,3.77,-100.00,16.84,,5.28,-100.00,12.14,2.29,4.91,-100.00,8.56,0.74,0.78,-100.00,,-0.84,0.31,-100.00,,,0.64,-100.00,,-0.49,-1.55,-1.29,-1.42,-0.50,-1.09,,-1.52,-0.27,0.42,0.06,0.57,-0.80,,
BalanceIntangibleAssets,196000,201000,198000,194000,183000,171000,160000,149000,138000,126000,115000,148000,149000,134000,173000,163000,127000,124000,,117000,97000,151000,,627000,1719000,601000,,681000,702000,708000,676000,178000,154000,130000,77000,69000,61000,,,,,,
BalanceIntangibleAssets_yy,,,,,-6.63,-14.93,-19.19,-23.20,-24.59,-26.32,-28.12,-0.67,7.97,6.35,50.43,10.14,-14.77,-7.46,-100.00,-28.22,-23.62,21.77,,435.90,1672.16,298.01,,8.61,-59.16,17.80,,-73.86,-78.06,-81.64,-88.61,-61.24,-60.39,-100.00,-100.00,-100.00,-100.00,,
BalanceIntangibleAssets_sy,,,,,-3.24,-19.44,-29.78,-4.04,-21.76,-0.88,58.69,5.49,10.74,12.93,23.13,10.56,7.78,2.46,-30.43,-1.07,1.56,-1.36,,0.96,2.53,2.07,,-0.55,-0.54,-2.54,,-16.62,-14.36,-7.53,-8.78,-2.50,-2.34,-1.11,-0.73,-1.78,-2.12,,
BalanceIntangibleAssets_qq,,2.55,-1.49,-2.02,-5.67,-6.56,-6.43,-6.88,-7.38,-8.70,-8.73,28.70,0.68,-10.07,29.10,-5.78,-22.09,-2.36,-100.00,,-17.09,55.67,-100.00,,174.16,-65.04,-100.00,,3.08,0.85,-4.52,-73.67,-13.48,-15.58,-40.77,-10.39,-11.59,-100.00,,,,,
BalanceIntangibleAssets_sq,,-5.78,-100.00,-1.01,-5.62,-8.50,-100.00,38.90,-3.47,0.02,-100.00,1.91,0.02,-0.62,-100.00,-0.66,-0.85,-1.00,-100.00,,-0.54,-0.76,-100.00,,-0.37,-0.25,-100.00,,-0.54,-1.10,-3.54,-2.90,-0.67,-0.42,-0.82,-0.51,-0.46,-0.53,,,,,
BalanceProperty,425000,435000,401000,1478000,313000,241000,297000,664000,643000,660000,911000,2296000,2353000,2504000,2549000,2495000,1180000,1130000,,985000,874000,1251000,,1540000,17923000,17907000,,18500000,61950000,62298000,62351000,62910000,62597000,60439000,59733000,51254000,51212000,51048000,51059000,,,,
BalanceProperty_yy,,,,,-26.35,-44.60,-25.94,-55.07,105.43,173.86,206.73,245.78,265.94,279.39,179.80,8.67,-49.85,-54.87,-100.00,-60.52,-25.93,10.71,,56.35,1950.69,1331.41,,1101.30,245.65,247.90,,240.05,1.04,-2.98,-4.20,-18.53,-18.19,-15.54,-14.52,-100.00,-100.00,-100.00,-100.00
BalanceProperty_sy,,,,,-0.41,3.24,3.22,11.89,36.79,27.85,91.50,44.73,53.89,42.56,40.65,26.17,25.52,17.89,-0.06,9.45,8.50,9.35,,7.19,0.01,8.02,,0.76,1.38,-2.80,,-4.39,-3.25,-3.98,-4.20,-4.36,-3.14,-2.12,-2.57,-1.28,-1.18,-1.30,0.48
BalanceProperty_qq,,2.35,-7.82,268.58,-78.82,-23.00,23.24,123.57,-3.16,2.64,38.03,152.03,2.48,6.42,1.80,-2.12,-52.71,-4.24,-100.00,,-11.27,43.14,-100.00,,1063.83,-0.09,-100.00,,234.86,0.56,0.09,0.90,-0.50,-3.45,-1.17,-14.19,-0.08,-0.32,0.02,-100.00,,,
BalanceProperty_sq,,0.42,-100.00,3.59,-1.30,2.34,-100.00,15.80,,3.72,-100.00,24.54,2.48,5.42,-100.00,8.10,1.64,0.64,-100.00,,-1.05,0.44,-100.00,,-0.22,0.87,-100.00,,-0.74,-1.49,-1.65,-1.57,-0.50,-2.17,-0.38,-1.21,-0.04,-0.32,-0.36,-1.16,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,200000,200000,200000,,200000,200000,200000,883000,690000,4742000,4166000,2652000,2145000,1686000,1417000,1368000,1939000,1970000,,1744000,42739000,40662000,,41604000,51093000,740000,,8543000,1101000,31068000,31609000,2157000,2157000,18000,12000,0,0,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,245.00,2271.00,1983.00,200.34,210.87,-64.45,-65.99,-48.42,-9.60,16.84,-100.00,27.49,2104.18,1964.06,,2285.55,19.55,-98.18,,-79.47,-97.85,4098.38,,-74.75,95.91,-99.94,-99.96,-100.00,-100.00,-100.00,-100.00,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,0.75,6.96,194.48,27.95,-2.40,-2.82,-49.26,-12.67,-9.60,4.83,-100.00,,0.80,-7.50,,4.27,,-2.41,,-24.19,-12.22,-4.55,,-6.38,-3.38,3.26,-0.46,-22.94,-25.65,-7.69,-11.54,,,,
BalanceNoncurrInvestments_qq,,,,-100.00,,,,341.50,-21.86,587.25,-12.15,-36.34,-19.12,-21.40,-15.95,-3.46,41.74,1.60,-100.00,,2350.63,-4.86,-100.00,,22.81,-98.55,-100.00,,-87.11,2721.80,1.74,-93.18,,-99.17,-33.33,-100.00,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,5.87,,0.61,-100.00,,,-4.50,-100.00,-3.46,,1.97,-100.00,,,-4.00,-100.00,,,-4.98,-100.00,,,,,1.42,,-0.60,,-0.06,,,,,,,
BalanceOtherNoncurrentAssets,209000,209000,209000,,,,,0,241000,241000,241000,832000,1417000,1578000,1704000,1868000,1834000,2034000,,1497000,1349000,1039000,,1101000,905000,873000,,413000,404000,413000,406000,500000,497000,159000,158000,3016000,3001000,2976000,2999000,275000,275000,275000,275000
BalanceOtherNoncurrentAssets_yy,,,,,-100.00,-100.00,-100.00,,,,,,487.97,554.77,607.05,124.52,29.43,28.90,-100.00,-19.86,-26.44,-48.92,,-26.45,-32.91,-15.98,,-62.49,-55.36,-52.69,,21.07,23.02,-61.50,-61.08,503.20,503.82,1771.70,1798.10,-90.89,-90.84,-90.76,-90.83
BalanceOtherNoncurrentAssets_sy,,,,,-2.89,-1.69,-26.02,,,,,,47.66,83.46,51.22,66.98,37.45,18.20,-33.74,-9.26,-0.44,-0.25,,28.24,10.00,12.76,,2.72,16.78,12.67,,3.40,1.32,0.15,1.80,6.94,4.74,2.70,14.60,-0.36,-1.32,7.83,1.28
BalanceOtherNoncurrentAssets_qq,,,,-100.00,,,,,,,,245.23,70.31,11.36,7.98,9.62,-1.82,10.91,-100.00,,-9.89,-22.98,-100.00,,-17.80,-3.54,-100.00,,-2.18,2.23,-1.69,23.15,-0.60,-68.01,-0.63,1808.86,-0.50,-0.83,0.77,-90.84,0.13,,
BalanceOtherNoncurrentAssets_sq,,,,-12.00,,,,,,,,109.49,4.72,7.19,-100.00,9.62,-1.24,-0.58,-100.00,,-4.42,1.00,-100.00,,-0.29,-3.03,-100.00,,-0.29,-0.42,-4.08,1.89,-0.35,6.02,,-0.31,-2.21,-0.56,5.05,3.10,-0.10,,
BalanceCurrentAssets,6970000,10561000,8781000,6514000,3837000,3785000,5966000,20092000,22069000,20439000,20812000,23816000,38189000,46491000,41348000,65278000,70730000,71656000,,70552000,25316000,43209000,,51045000,43356000,94636000,,96244000,88418000,72699000,69360000,36639000,22953000,22192000,3903000,2963000,2483000,2535000,2353000,1269000,1248000,720000,628000
BalanceCurrentAssets_yy,,,,,-44.95,-64.16,-32.06,208.44,475.16,440.00,248.84,18.53,73.04,127.46,98.67,174.09,85.21,54.13,-100.00,8.08,-64.21,-39.70,,-27.65,71.26,119.02,,88.55,103.93,-23.18,,-61.93,-74.04,-69.47,-94.37,-91.91,-89.18,-88.58,-39.71,-57.18,-49.74,-71.60,-73.31
BalanceCurrentAssets_sy,,,,,-8.93,-0.87,-2.37,37.85,77.28,69.35,80.02,41.08,34.75,35.92,-5.18,23.16,18.40,1.20,-24.25,2.97,-2.33,0.95,,15.02,15.30,22.44,,18.83,8.60,0.96,,-9.80,-10.92,-13.36,-10.18,-1.37,4.22,-1.64,0.68,-1.18,0.04,1.15,3.71
BalanceCurrentAssets_qq,,51.52,-16.85,-25.82,-41.10,-1.36,57.62,236.78,9.84,-7.39,1.82,14.43,60.35,21.74,-11.06,57.87,8.35,1.31,-100.00,,-64.12,70.68,-100.00,,-15.06,118.28,-100.00,,-8.13,-17.78,-4.59,-47.18,-37.35,-3.32,-82.41,-24.08,-16.20,2.09,-7.18,-46.08,-1.63,-42.31,-12.78
BalanceCurrentAssets_sq,,6.38,-100.00,-13.14,-10.04,15.08,-100.00,16.83,0.02,8.38,-100.00,-12.36,3.49,10.81,-100.00,3.95,-9.66,7.58,-100.00,,-8.52,5.83,-100.00,,-5.44,9.48,-100.00,,-8.13,4.74,-4.36,-9.95,-10.04,2.77,7.11,0.36,-2.27,1.88,3.29,-0.05,-4.48,3.14,4.06
BalanceInventory,237000,204000,203000,164000,103000,58000,152000,893000,838000,2066000,1904000,1524000,1092000,670000,749000,304000,186000,909000,,524000,926000,1551000,,628000,1041000,631000,,569000,762000,617000,885000,1034000,845000,498000,,0,19000,527000,538000,63000,63000,63000,63000
BalanceInventory_yy,,,,,-56.54,-71.57,-25.12,444.51,713.59,3462.07,1152.63,70.66,30.31,-67.57,-60.66,-80.05,-82.97,35.67,-100.00,72.37,397.85,70.63,,19.85,12.42,-59.32,,-9.39,-26.80,-2.22,,81.72,10.89,-19.29,-100.00,-100.00,-97.75,5.82,,,231.58,-88.05,-88.29
BalanceInventory_sy,,,,,-0.94,22.82,27.06,63.40,51.32,24.44,-11.33,70.32,30.31,68.74,1.17,26.34,20.30,14.11,-90.00,-9.92,0.58,3.81,,1.76,0.49,7.29,,6.14,0.98,-2.22,,-24.15,-14.57,-14.87,-16.19,-7.26,-15.25,-8.50,,,-2.41,-6.80,-0.04
BalanceInventory_qq,,-13.92,-0.49,-19.21,-37.20,-43.69,162.07,487.50,-6.16,146.54,-7.84,-19.96,-28.35,-38.64,11.79,-59.41,-38.82,388.71,-100.00,,76.72,67.49,-100.00,,65.76,-39.39,-100.00,,33.92,-19.03,43.44,16.84,-18.28,-41.07,-100.00,,,2673.68,2.09,-88.37,0.73,,
BalanceInventory_sq,,-9.98,-100.00,-21.86,15.09,3.16,-100.00,15.24,6.50,4.26,-100.00,-19.96,13.44,13.42,-100.00,-40.07,5.07,0.64,-100.00,,3.17,2.36,-100.00,,4.15,1.25,-100.00,,5.20,-3.10,-16.97,-7.28,0.85,-1.22,-3.41,,,2.62,0.56,-21.04,6.42,,
BalanceCurrentReceivables,4430000,6904000,7079000,4804000,3356000,3180000,4201000,7354000,19374000,11369000,16736000,11129000,24930000,18651000,16857000,14612000,19605000,19250000,,20726000,14645000,28901000,,33552000,31382000,28638000,,28521000,36604000,51015000,45025000,21408000,19431000,18309000,3447000,2662000,1340000,620000,734000,98000,6000,18000,17000
BalanceCurrentReceivables_yy,,,,,-24.24,-53.94,-40.66,53.08,477.29,257.52,298.38,51.33,28.68,64.05,0.72,31.30,-21.36,3.21,-100.00,41.84,-25.30,50.14,,61.88,114.28,-0.91,,-14.99,16.64,78.14,,-24.94,-46.92,-64.11,-92.34,-87.57,-93.10,-96.61,-78.71,-96.31,-99.55,-97.10,-97.68
BalanceCurrentReceivables_sy,,,,,-4.85,0.23,-15.26,53.08,81.58,48.43,77.18,31.20,18.12,23.30,-4.03,19.35,8.15,2.20,-45.18,-1.09,6.03,8.95,,22.32,32.92,33.65,,27.62,18.81,2.46,,-11.22,-16.44,-19.76,-10.37,-12.58,-6.23,-3.25,-5.60,-4.41,-1.90,4.46,2.26
BalanceCurrentReceivables_qq,,55.85,2.53,-32.14,-30.14,-5.24,32.11,75.05,163.45,-41.32,47.21,-33.50,124.01,-25.19,-9.62,-13.32,34.17,-1.81,-100.00,,-29.34,97.34,-100.00,,-6.47,-8.74,-100.00,,28.34,39.37,-11.74,-52.45,-9.23,-5.77,-81.17,-22.77,-49.66,-53.73,18.39,-86.61,-93.89,200.00,-5.56
BalanceCurrentReceivables_sq,,16.39,-100.00,-13.27,-18.11,25.72,-100.00,19.04,2.81,11.76,-100.00,-0.46,2.43,16.36,-100.00,16.56,-7.59,14.36,-100.00,,-12.78,17.97,-100.00,,-6.41,19.30,-100.00,,-12.10,8.77,-11.43,-11.76,-10.10,8.02,5.23,-8.08,-5.72,8.82,4.62,-1.83,-9.08,8.66,6.88
BalanceCurrentInvestments,,,,,,,,10398000,,,,5000000,,4041000,,14075000,16922000,17232000,,47589000,7232000,9979000,,14689000,5552000,58080000,,61447000,43651000,12117000,21580000,12864000,803000,815000,,12000,12000,13000,13000,,,,
BalanceCurrentInvestments_yy,,,,,,,,,,,,-51.91,,,,181.50,,326.43,,238.11,-57.26,-42.09,,-69.13,-23.23,482.02,,318.32,686.22,-79.14,,-79.06,-98.16,-93.27,-100.00,-99.91,-98.51,-98.40,,-100.00,-100.00,-100.00,-100.00
BalanceCurrentInvestments_sy,,,,,,,,,,,,-2.67,,,,83.97,,4.19,,4.90,-58.73,-55.81,,-18.54,-44.74,-21.14,,-67.05,-16.57,-46.46,,-10.64,-38.46,-27.92,-38.51,-5.65,-30.26,-16.67,,-59.36,-25.82,-91.63,-52.28
BalanceCurrentInvestments_qq,,,,,,,,,-100.00,,,,-100.00,,-100.00,,20.23,1.83,-100.00,,-84.80,37.98,-100.00,,-62.20,946.11,-100.00,,-28.96,-72.24,78.10,-40.39,-93.76,1.49,-100.00,,,8.33,,-100.00,,,
BalanceCurrentInvestments_sq,,,,,,,,,-46.95,,,,-0.46,,-100.00,,-0.11,-4.34,-100.00,,-5.51,-25.90,-100.00,,-11.45,-0.51,-100.00,,1.17,-5.42,-18.40,-23.58,-8.90,1.65,,,,0.81,,-38.88,,,
BalanceCash,141000,561000,158000,1173000,98000,121000,1167000,677000,639000,6163000,781000,1801000,4052000,17660000,20523000,35403000,33093000,33790000,,1225000,1795000,1697000,,1710000,4327000,4537000,,1230000,1254000,1208000,495000,95000,506000,661000,329000,198000,654000,1051000,863000,1008000,1079000,539000,445000
BalanceCash_yy,,,,,-30.50,-78.43,638.61,-42.28,552.04,4993.39,-33.08,166.03,534.12,186.55,2527.78,1865.74,716.71,91.34,-100.00,-96.54,-94.58,-94.98,,39.59,141.06,167.35,,-28.07,-71.02,-73.37,,-92.28,-59.65,-45.28,-33.54,108.42,29.25,59.00,162.31,408.85,64.98,-48.72,-48.44
BalanceCash_sy,,,,,47.07,26.37,36.67,-0.73,61.08,90.54,40.52,68.65,107.49,26.14,-55.08,52.31,14.44,16.21,-33.41,26.94,-9.48,-26.09,,14.79,50.62,12.44,,-21.38,-27.91,-12.12,,-10.68,8.37,13.02,7.36,23.63,9.46,38.42,1.22,2.68,-4.57,11.59,17.10
BalanceCash_qq,,297.87,-71.84,642.41,-91.65,23.47,864.46,-41.99,-5.61,864.48,-87.33,130.60,124.99,335.83,16.21,72.50,-6.52,2.11,-100.00,,46.53,-5.46,-100.00,,153.04,4.85,-100.00,,1.95,-3.67,-59.02,-80.81,432.63,30.63,-50.23,-39.82,230.30,60.70,-17.89,16.75,7.09,-50.05,-17.44
BalanceCash_sq,,5.44,-100.00,0.43,-0.83,-16.58,-100.00,-41.99,-5.61,11.85,-100.00,-0.10,-11.73,-5.19,-100.00,72.50,-11.84,-1.20,-100.00,,-16.73,-9.38,-100.00,,-26.17,-25.85,-100.00,,-22.04,-29.64,-7.69,29.39,-16.76,-6.34,7.62,23.35,-12.14,-15.30,-7.63,26.40,-13.46,-7.69,-4.58
BalanceOtherCurrentAssets,2162000,2892000,1341000,373000,280000,426000,446000,770000,1218000,841000,1391000,4362000,8115000,5469000,3219000,884000,924000,475000,,488000,718000,1081000,,466000,1054000,2750000,,4477000,6147000,7742000,1375000,1238000,1368000,1909000,127000,91000,458000,324000,205000,100000,100000,100000,103000
BalanceOtherCurrentAssets_yy,,,,,-87.05,-85.27,-66.74,106.43,335.00,97.42,211.88,466.49,566.26,550.30,131.42,-79.73,-88.61,-91.31,-100.00,-44.80,-22.29,127.58,,-4.51,46.80,154.39,,860.73,483.21,181.53,,-72.35,-77.75,-75.34,-90.76,-92.65,-66.52,-83.03,61.42,10.21,-78.17,-69.14,-49.76
BalanceOtherCurrentAssets_sy,,,,,-14.97,-3.65,43.15,68.92,41.13,56.28,42.82,23.54,30.24,30.37,37.02,14.31,6.43,1.30,-24.98,3.73,0.59,26.20,,5.36,6.15,16.43,,31.43,35.62,16.80,,-9.34,-22.06,-16.76,-14.77,-7.08,3.36,4.84,-14.58,-11.36,-1.38,-10.56,-3.40
BalanceOtherCurrentAssets_qq,,33.77,-53.63,-72.18,-24.93,52.14,4.69,72.65,58.18,-30.95,65.40,213.59,86.04,-32.61,-41.14,-72.54,4.52,-48.59,-100.00,,47.13,50.56,-100.00,,126.18,160.91,-100.00,,37.30,25.95,-82.24,-9.96,10.50,39.55,-93.35,-28.35,403.30,-29.26,-36.73,-51.08,-0.29,,3.00
BalanceOtherCurrentAssets_sq,,-18.31,-91.93,-16.67,5.01,0.82,-100.00,-3.31,18.63,5.82,-100.00,-4.18,74.22,-4.84,-100.00,-28.69,22.08,-4.23,-100.00,,21.56,-4.71,-100.00,,42.11,14.52,-100.00,,20.40,-15.61,-22.98,-20.84,17.62,-6.42,-5.49,-18.40,14.90,-15.28,-18.40,-15.98,19.92,,0.42
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,24000,20000,20000,20000,20000
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.00,-16.67
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.00,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.00,-15.63,-1.22,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.00,,,,
BalanceTotalAssets,8000000,11606000,9789000,8186000,4533000,4397000,6623000,21788000,23781000,26208000,26245000,29744000,44253000,52393000,47191000,71172000,75810000,76914000,,74895000,70375000,86312000,,95917000,114996000,114757000,,124381000,152575000,167186000,164402000,102384000,88358000,82938000,63883000,57302000,56757000,56584000,56435000,1564000,1543000,1015000,923000
BalanceTotalAssets_yy,,,,,-43.34,-62.11,-32.34,166.16,424.62,496.04,296.27,36.52,86.09,99.91,79.81,139.28,71.31,46.80,-100.00,5.23,-7.17,12.22,,28.07,63.40,32.96,,29.68,32.68,45.69,,-17.69,-42.09,-50.39,-61.14,-44.03,-35.76,-31.78,-11.66,-97.27,-97.28,-98.21,-98.36
BalanceTotalAssets_sy,,,,,-4.40,8.33,-0.40,27.77,53.67,51.51,52.03,36.52,37.22,39.22,15.07,26.44,15.94,8.22,-0.02,5.23,6.44,7.15,,17.14,13.23,24.90,,11.22,9.66,3.34,,-5.34,-8.24,-9.25,-6.07,-3.60,2.62,2.85,-0.07,0.90,-3.06,-0.67,0.08
BalanceTotalAssets_qq,,45.08,-15.66,-16.38,-44.62,-3.00,50.63,228.97,9.15,10.21,0.14,13.33,48.78,18.39,-9.93,50.82,6.52,1.46,-100.00,,-6.04,22.65,-100.00,,19.89,-0.21,-100.00,,22.67,9.58,-1.67,-37.72,-13.70,-6.13,-22.97,-10.30,-0.95,-0.30,-0.26,-97.23,-1.31,-34.22,-9.06
BalanceTotalAssets_sq,,4.48,-100.00,-0.50,-7.31,13.71,-100.00,17.62,0.61,8.24,-100.00,-0.54,3.78,8.50,-100.00,5.99,-4.86,5.59,-100.00,,-4.80,4.80,-100.00,,-3.50,4.57,-100.00,,-4.46,2.62,-1.58,-6.54,-5.56,0.44,2.86,-0.54,-2.04,0.07,0.41,0.33,-2.57,1.14,2.56
BalanceCapital,-1899000,-1218000,-1883000,-7152000,-5146000,-6414000,1310000,13664000,14013000,14858000,16048000,15252000,16722000,18169000,19246000,45480000,48618000,49374000,,50300000,50705000,52286000,,56565000,63447000,65121000,,66347000,67182000,68836000,67331000,17732000,14082000,10402000,21623000,4578000,3132000,-7425000,-8129000,-14940000,-14957000,-14959000,-15012000
BalanceCapital_yy,,,,,-170.98,-426.60,169.57,291.05,372.31,331.65,1125.04,11.62,19.33,22.28,19.93,198.19,190.74,171.75,-100.00,10.60,4.29,5.90,,12.46,25.13,24.55,,17.29,5.89,5.70,,-73.27,-79.04,-84.89,-67.89,-74.18,-77.76,-171.38,-137.59,-426.35,-577.55,-101.47,-84.67
BalanceCapital_sy,,,,,11.64,16.96,19.26,20.62,54.51,66.43,266.33,104.45,36.62,29.28,8.79,11.87,11.61,13.78,12.62,12.96,13.52,11.20,,10.30,9.93,11.25,,5.87,4.62,4.22,,-2.19,-1.14,0.16,0.91,3.19,4.40,2.61,4.91,3.82,3.78,2.62,2.08
BalanceCapital_qq,,35.86,-54.60,-279.82,28.05,-24.64,120.42,943.05,2.55,6.03,8.01,-4.96,9.64,8.65,5.93,136.31,6.90,1.55,-100.00,,0.81,3.12,-100.00,,12.17,2.64,-100.00,,1.26,2.46,-2.19,-73.66,-20.58,-26.13,107.87,-78.83,-31.59,-337.07,-9.48,-83.79,-0.11,-0.01,-0.35
BalanceCapital_sq,,0.33,-54.60,-0.52,1.98,1.90,-63.37,0.62,5.00,7.58,-100.00,-0.56,3.97,2.16,-100.00,6.05,3.52,3.84,-100.00,,1.38,1.25,-100.00,,0.76,0.34,-100.00,,0.76,-0.87,-0.30,1.47,0.35,-0.80,0.79,2.40,0.33,-0.43,1.12,2.07,0.72,0.05,1.72
BalanceShareCapital,4500000,4500000,4500000,4500000,4500000,4500000,13000000,26000000,26000000,26000000,26000000,26000000,26000000,26000000,26000000,52000000,52000000,52000000,,52000000,52000000,52000000,,52000000,52000000,52000000,,52000000,52000000,52000000,52000000,52000000,52000000,52000000,52000000,52000000,52000000,520000,520000,520000,520000,520000,520000
BalanceShareCapital_yy,,,,,,,188.89,477.78,477.78,477.78,100.00,,,,,100.00,100.00,100.00,-100.00,,,,,,,,,,,,,,,,,,,-99.00,-99.00,-99.00,-99.00,,
BalanceShareCapital_sy,,,,,,,,,2.01,2.01,24.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,,,,188.89,100.00,,,,,,,,100.00,,,-100.00,,,,-100.00,,,,-100.00,,,,,,,,,,,-99.00,,,,,
BalanceShareCapital_sq,,,,,,,-100.00,,,,,,,,,,,,-100.00,,,,-100.00,,,,-100.00,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,,17000,17000,,,,,0,,-56000,-686000,-2477000,-2777000,-3539000,-3626000,0,0,0,,-96000,-122000,-84000,,185000,437000,3308000,,3373000,3414000,10111000,10111000,10111000,10111000,9974000,10695000,835000,835000,407000,598000,250000,251000,251000,251000
