,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceOtherCurrentAssets_sq,,49.21,,-12.39,-39.78,12.64,-23.25,-19.25,-29.71,46.43,-12.99,-14.43,-37.95,71.64,-14.98,-27.90,-21.67,66.57,-8.87,-23.50,-3.57,114.25,-0.72
BalanceAssetsForSale,3537000,,3287000,3287000,,,,,,,,,,,,,,,,,,,19415000
BalanceAssetsForSale_yy,,,,,-100.00,,-100.00,-100.00,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,-100.00,,-100.00,-100.00,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,-100.00,,,-100.00,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,-12.90,,,-100.00,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,236403000,,306930000,317409000,329898000,363721000,385324000,374390000,385831000,405323000,402758000,419348000,416460000,437762000,431424000,448164000,476638000,498857000,482831000,489384000,519428000,545179000,559626000
BalanceTotalAssets_yy,,,,,39.55,,25.54,17.95,16.95,11.44,4.52,12.01,7.94,8.00,7.12,6.87,14.45,13.96,11.92,9.20,8.98,9.29,15.91
BalanceTotalAssets_sy,,,,,-0.15,,-1.82,-4.65,-1.40,0.68,-0.81,3.18,4.32,6.87,6.90,7.12,5.82,9.80,2.31,5.68,5.69,7.38,14.30
BalanceTotalAssets_qq,,-100.00,,3.41,3.93,10.25,5.94,-2.84,3.06,5.05,-0.63,4.12,-0.69,5.11,-1.45,3.88,6.35,4.66,-3.21,1.36,6.14,4.96,2.65
BalanceTotalAssets_sq,,-1.69,,0.66,-0.07,-3.33,-1.88,0.33,0.24,-1.07,1.74,1.24,-0.08,-1.28,6.28,1.12,-0.16,0.72,1.55,1.53,1.17,2.03,2.65
BalanceCapital,65107000,,111780000,113609000,115407000,118033000,118360000,122393000,123098000,128346000,132770000,139239000,143218000,146405000,142109000,145646000,146423000,148898000,143890000,153335000,162917000,168511000,158962000
BalanceCapital_yy,,,,,77.26,,5.89,7.73,6.66,8.74,12.17,13.76,16.34,14.07,7.03,4.60,2.24,1.70,1.25,5.28,11.26,13.17,10.47
BalanceCapital_sy,,,,,4.66,,5.89,6.33,5.34,4.55,4.05,4.36,5.09,6.93,7.36,7.32,3.78,4.15,4.77,10.45,5.29,9.93,9.33
BalanceCapital_qq,,-100.00,,1.64,1.58,2.28,0.28,3.41,0.58,4.26,3.45,4.87,2.86,2.23,-2.93,2.49,0.53,1.69,-3.36,6.56,6.25,3.43,-5.67
BalanceCapital_sq,,1.22,,0.92,0.98,1.68,1.08,0.80,1.70,0.98,0.56,1.16,3.69,0.89,0.70,-0.10,0.75,1.80,0.14,2.35,1.42,2.96,-2.88
BalanceShareCapital,6347000,,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000,11347000
BalanceShareCapital_yy,,,,,78.78,,,,,,,,,,,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,-100.00,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,43836000,,94339000,94333000,94008000,93986000,100428000,100081000,99960000,99965000,110596000,110187000,110289000,110296000,119375000,119585000,119899000,119998000,123866000,123930000,124112000,124099000,146541000
BalanceReserve_yy,,,,,114.45,,6.46,6.09,6.33,6.36,10.12,10.10,10.33,10.33,7.94,8.53,8.71,8.80,3.76,3.63,3.51,3.42,18.31
BalanceReserve_sy,,,,,,,,-0.99,,4.52,1.38,3.54,5.88,7.52,7.94,5.99,4.89,4.82,-0.18,1.11,3.20,3.94,6.82
BalanceReserve_qq,,-100.00,,-0.01,-0.34,-0.02,6.85,-0.35,-0.12,,10.64,-0.37,0.09,0.01,8.23,0.18,0.26,0.08,3.22,0.05,0.15,-0.01,18.08
BalanceReserve_sq,,,,,-0.02,-0.23,1.28,-0.26,,,3.81,-0.08,0.09,,3.68,,0.01,,2.61,,0.04,,8.48
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,77069000,,77189000,84920000,91423000,90002000,99437000,95168000,117670000,122623000,121794000,147846000,150821000,147189000,146202000,140044000,141870000,154327000,155165000,151723000,181644000,199978000,199748000
BalanceNoncurrentLiabilities_yy,,,,,18.62,,28.82,12.07,28.71,36.25,22.48,55.35,28.17,20.03,20.04,-5.28,-5.93,4.85,6.13,8.34,28.04,29.58,28.73
BalanceNoncurrentLiabilities_sy,,,,,-13.58,,6.41,3.00,-4.56,5.03,8.27,-0.90,4.45,-1.26,1.37,4.36,2.46,1.76,-0.51,-1.19,-7.81,-8.59,-8.66
BalanceNoncurrentLiabilities_qq,,-100.00,,10.01,7.66,-1.55,10.48,-4.29,23.64,4.21,-0.68,21.39,2.01,-2.41,-0.67,-4.21,1.30,8.78,0.54,-2.22,19.72,10.09,-0.11
BalanceNoncurrentLiabilities_sq,,-3.53,,-1.57,-2.61,-2.30,-2.85,-2.59,-1.43,-0.04,-2.20,-0.17,0.34,-1.78,0.32,-0.08,1.20,-0.82,-3.29,-0.22,-1.23,0.79,0.90
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,55123000,,55440000,63276000,69554000,68352000,77752000,73665000,63656000,97047000,71267000,88210000,90044000,87770000,86360000,81627000,82945000,89213000,87725000,85591000,117472000,138014000,139735000
BalanceNoncurrentBorrowings_yy,,,,,26.18,,40.24,16.42,-8.48,41.98,-8.34,19.75,41.45,-9.56,21.18,-7.46,-7.88,1.64,1.58,4.86,41.63,54.70,59.29
BalanceNoncurrentBorrowings_sy,,,,,-3.98,,29.64,,-8.48,3.48,-3.67,-1.78,-7.19,-12.66,-3.06,-5.08,0.13,-0.72,-1.41,0.68,-12.86,-2.90,7.21
BalanceNoncurrentBorrowings_qq,,-100.00,,14.13,9.92,-1.73,13.75,-5.26,-13.59,52.46,-26.57,23.78,2.08,-2.53,-1.61,-5.48,1.61,7.56,-1.67,-2.43,37.25,17.49,1.25
BalanceNoncurrentBorrowings_sq,,-6.77,,,-1.64,-2.86,-5.48,-5.26,-11.20,0.04,-5.92,-0.51,-10.33,-2.25,-1.38,0.07,-4.60,-1.08,-3.94,0.27,0.85,4.39,-1.47
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,29053000,,26041000,25405000,26156000,25189000,25803000,24658000,24890000,31250000,33619000,32275000,29117000,27329000,25551000
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,,-9.97,,-0.91,-2.94,-4.84,24.06,30.29,30.89,16.98,-12.55,-24.00
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,,3.16,,5.75,12.05,16.68,12.64,6.08,12.39,19.56,18.97,18.25
BalanceNoncurrentLeasing_qq,,,,,,,,,,-100.00,,-2.44,2.96,-3.70,2.44,-4.44,0.94,25.55,7.58,-4.00,-9.79,-6.14,-6.51
BalanceNoncurrentLeasing_sq,,,,,,,,,,-9.22,,8.54,-0.30,,2.44,0.05,-1.53,1.90,3.64,6.38,-3.44,-3.31,4.94
BalanceNoncurrentOtherLiabilities,21946000,,21750000,21644000,21869000,21650000,21686000,21503000,24961000,25576000,24487000,34231000,34621000,34230000,34039000,33759000,34035000,33864000,33821000,33856000,35055000,34635000,34462000
BalanceNoncurrentOtherLiabilities_yy,,,,,-0.35,,-0.29,-0.65,14.14,18.13,12.91,59.19,38.70,33.84,39.01,-1.38,-1.69,-1.07,-0.64,0.29,3.00,2.28,1.90
BalanceNoncurrentOtherLiabilities_sy,,,,,-10.59,,-5.02,-4.22,-0.75,-2.60,-4.76,1.10,8.53,1.41,3.87,-0.07,-1.69,-1.35,-2.94,-3.75,-3.00,-0.73,0.04
BalanceNoncurrentOtherLiabilities_qq,,-100.00,,-0.49,1.04,-1.00,0.17,-0.84,16.08,2.46,-4.26,39.79,1.14,-1.13,-0.56,-0.82,0.82,-0.50,-0.13,0.10,3.54,-1.20,-0.50
BalanceNoncurrentOtherLiabilities_sq,,-1.18,,-2.53,-2.90,-1.03,,-1.21,-0.72,-0.05,-1.21,0.05,2.06,-1.01,1.59,-1.08,0.58,-1.32,-2.85,-1.19,2.57,-0.60,-0.25
BalanceCurrentLiabilities,94227000,,106720000,118880000,123068000,155686000,167526000,156829000,145064000,154353000,148194000,132263000,122422000,144168000,143112000,162474000,188345000,195632000,183776000,184326000,174868000,176691000,200915000
BalanceCurrentLiabilities_yy,,,,,30.61,,56.98,31.92,17.87,-0.86,-11.54,-15.66,-15.61,-6.60,-3.43,22.84,53.85,35.70,28.41,13.45,-7.16,-9.68,9.33
BalanceCurrentLiabilities_sy,,,,,-4.50,,-9.80,-12.35,-6.57,1.17,1.90,0.25,3.77,-4.90,5.00,6.02,8.12,20.99,10.92,13.53,3.84,2.09,17.29
BalanceCurrentLiabilities_qq,,-100.00,,11.39,3.52,26.50,7.61,-6.39,-7.50,6.40,-3.99,-10.75,-7.44,17.76,-0.73,13.53,15.92,3.87,-6.06,0.30,-5.13,1.04,13.71
BalanceCurrentLiabilities_sq,,-8.99,,6.80,-4.45,-8.49,-2.47,6.55,2.19,-2.87,-2.00,0.67,0.48,-2.98,12.90,4.52,11.76,-0.54,0.30,3.49,-2.09,0.42,11.48
BalanceCurrentTradePayablesv,48154000,,55320000,56046000,55072000,57941000,52997000,45026000,53352000,64446000,56116000,66363000,55786000,63332000,59429000,81342000,82374000,75720000,70331000,77277000,100982000,95708000,109694000
BalanceCurrentTradePayablesv_yy,,,,,14.37,,-4.20,-19.66,-3.12,11.23,5.88,47.39,4.56,-1.73,5.90,22.57,47.66,19.56,18.34,-5.00,22.59,26.40,55.97
BalanceCurrentTradePayablesv_sy,,,,,-4.74,,-4.20,-8.83,-3.38,5.57,5.88,12.98,4.71,-2.04,8.08,9.27,18.61,19.42,18.93,15.77,11.00,-4.00,15.07
BalanceCurrentTradePayablesv_qq,,-100.00,,1.31,-1.74,5.21,-8.53,-15.04,18.49,20.79,-12.93,18.26,-15.94,13.53,-6.16,36.87,1.27,-8.08,-7.12,9.88,30.68,-5.22,14.61
BalanceCurrentTradePayablesv_sq,,-9.70,,9.92,-2.65,-11.69,4.64,8.26,-0.15,4.78,4.00,15.75,-15.20,2.89,13.64,8.60,7.38,-0.08,-2.32,6.58,-11.04,-1.78,13.48
BalanceCurrentBorrowings,36418000,,45875000,46159000,52226000,82554000,101359000,94394000,58605000,74674000,67891000,41232000,40776000,52479000,57676000,54802000,71732000,70337000,70910000,61451000,30579000,30491000,25000000
BalanceCurrentBorrowings_yy,,,,,43.41,,120.94,104.50,12.22,-9.55,-33.02,-56.32,-30.42,-29.72,-15.05,32.91,75.92,34.03,22.94,12.13,-57.37,-56.65,-64.74
BalanceCurrentBorrowings_sy,,,,,-2.67,,-7.42,-5.38,-5.50,-8.37,4.24,1.00,7.26,9.25,15.52,1.21,6.88,11.76,9.93,-1.66,3.15,3.02,9.48
BalanceCurrentBorrowings_qq,,-100.00,,0.62,13.14,58.07,22.78,-6.87,-37.91,27.42,-9.08,-39.27,-1.11,28.70,9.90,-4.98,30.89,-1.94,0.81,-13.34,-50.24,-0.29,-18.01
BalanceCurrentBorrowings_sq,,-2.95,,-2.28,-0.36,-5.28,-7.80,1.19,5.30,-4.96,2.47,0.19,3.18,-5.90,12.72,-3.68,-0.08,0.10,0.09,-0.88,2.96,0.31,11.22
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,9251000,,9798000,10108000,11385000,11471000,12012000,12219000,12461000,14584000,15586000,16590000,15630000,14996000,14484000
BalanceCurrentLeasing_yy,,,,,,,,,,,,,23.07,,22.60,20.89,9.45,27.13,29.75,35.77,25.43,2.82,-7.07
BalanceCurrentLeasing_sy,,,,,,,,,,,,,23.72,,7.99,-2.59,13.11,28.36,21.48,16.24,20.26,15.94,31.42
BalanceCurrentLeasing_qq,,,,,,,,,,-100.00,,3.15,12.64,0.76,4.72,1.72,1.98,17.03,6.87,6.44,-5.79,-4.06,-3.41
BalanceCurrentLeasing_sq,,,,,,,,,,5.29,,1.07,-3.38,-3.21,8.04,1.30,1.91,-5.24,-0.25,5.62,5.12,-0.46,-0.34
BalanceCurrentOtherLiabilities,8473000,,15588000,15498000,14590000,14011000,11990000,16229000,22676000,14048000,13065000,12840000,12843000,15254000,12363000,12480000,20147000,33360000,25319000,27487000,26171000,34006000,50260000
BalanceCurrentOtherLiabilities_yy,,,,,72.19,,-23.08,4.72,55.42,0.27,8.97,-20.88,-43.36,8.59,-5.37,-2.80,56.87,118.69,104.79,120.24,29.90,1.93,98.51
BalanceCurrentOtherLiabilities_sy,,,,,-5.14,,-16.58,3.22,4.54,0.48,5.00,1.57,0.88,-9.32,-1.41,-4.13,17.62,19.86,22.74,22.42,18.85,16.18,8.36
BalanceCurrentOtherLiabilities_qq,,-100.00,,-0.58,-5.86,-3.97,-14.42,35.35,39.73,-38.05,-7.00,-1.72,0.03,18.77,-18.95,0.95,61.43,65.58,-24.11,8.56,-4.79,29.94,47.80
BalanceCurrentOtherLiabilities_sq,,8.23,,-3.62,-5.74,-0.95,-8.97,11.32,9.98,-4.59,-3.54,4.03,-9.10,-11.32,5.24,11.22,-1.55,4.88,7.75,5.60,4.03,2.15,-0.04
BalanceReckoning,1182000,,1177000,1177000,1180000,1180000,1180000,1180000,1180000,1185000,1324000,1721000,1631000,1631000,1631000,1631000,1631000,1631000,1630000,1521000,1505000,1491000,1477000
BalanceReckoning_yy,,,,,-0.16,,0.29,0.29,,0.46,12.18,45.80,38.19,37.58,23.19,-5.22,,,-0.03,-6.76,-7.69,-8.55,-9.38
BalanceReckoning_sy,,,,,0.36,,-9.06,-2.20,,-8.42,-3.40,-0.98,-2.32,-8.44,,-2.90,,,-0.02,-4.30,0.46,,5.50
BalanceReckoning_qq,,-100.00,,,0.29,-0.01,0.01,,,0.44,11.68,29.97,-5.22,,,,,,-0.03,-6.73,-1.00,-0.93,-0.94
BalanceReckoning_sq,,0.30,,,-1.24,-1.60,-3.16,,,3.00,-1.16,,-6.78,,,,,,-0.30,-0.92,-0.50,,-0.47
BalanceTotalEquityAndLiabilities,236403000,0,295689000,317409000,329898000,363721000,385324000,374390000,385831000,405323000,402758000,419348000,416460000,437762000,431424000,448164000,476638000,498857000,482831000,489384000,519428000,545179000,559626000
BalanceTotalEquityAndLiabilities_yy,,,,,39.55,,30.31,17.95,16.95,11.44,4.52,12.01,7.94,8.00,7.12,6.87,14.45,13.96,11.92,9.20,8.98,9.29,15.91
BalanceTotalEquityAndLiabilities_sy,,,,,-0.15,,-1.82,-4.65,-1.40,0.68,-1.46,1.98,5.68,6.87,6.90,7.12,5.82,9.80,3.61,6.02,5.69,7.38,14.30
BalanceTotalEquityAndLiabilities_qq,,-100.00,,7.35,3.93,10.25,5.94,-2.84,3.06,5.05,-0.63,4.12,-0.69,5.11,-1.45,3.88,6.35,4.66,-3.21,1.36,6.14,4.96,2.65
BalanceTotalEquityAndLiabilities_sq,,-1.69,,1.61,-0.07,-3.33,-1.89,0.33,0.24,-1.07,1.38,1.24,0.32,-1.63,6.28,1.12,1.52,0.02,1.55,1.53,1.17,2.03,2.65
CashflowOperatingCashflow,12372000,19000,11758000,11150000,5364000,-29478000,-2581000,30728000,40603000,-8325000,9185000,14350000,9812000,2734000,10054000,16863000,9833000,-4695000,22943000,32286000,38299000,216000,33394000
CashflowOperatingCashflow_yy,,,,,-56.64,-155248.97,-121.95,175.57,656.94,71.76,455.89,-53.30,-75.83,132.84,9.46,17.52,0.21,-271.74,128.21,91.46,289.51,104.61,45.55
CashflowOperatingCashflow_sy,,,,,-31.56,25.12,38.27,2.20,-10.67,42.04,-2.18,-9.32,8.41,-2.13,5.28,2.39,-4.90,100.46,6.59,-18.26,-3.87,-13.80,46.70
CashflowOperatingCashflow_qq,,-99.85,61782.09,-5.16,-51.89,-649.54,91.25,1290.63,32.14,-120.50,210.32,56.23,-31.62,-72.14,267.74,67.73,-41.69,-147.75,588.64,40.72,18.63,-99.44,15339.09
CashflowOperatingCashflow_sq,,-45.39,-45.66,77.61,17.55,-40.54,91.25,-29.34,-40.67,20.85,3.18,52.17,-53.06,-5.24,160.83,-27.37,-2.34,-21.44,-26.56,40.72,-8.76,-60.47,83.40
CashflowAmortization,3105000,3167000,3413000,3651000,5366000,5112000,4604000,5175000,5279000,5001000,5598000,5803000,6068000,6185000,6480000,6538000,6609000,7003000,7192000,7349000,7365000,7270000,7269000
CashflowAmortization_yy,,,,,72.82,61.42,34.92,41.74,-1.61,-2.18,21.58,12.13,14.94,23.69,15.76,12.67,8.90,13.22,10.99,12.41,11.45,3.81,1.07
CashflowAmortization_sy,,,,,-2.60,0.10,-5.61,-3.36,-1.61,-2.18,-2.03,-2.49,-3.84,-1.72,2.57,4.87,1.27,7.76,8.80,8.18,8.86,10.02,4.15
CashflowAmortization_qq,,2.00,7.75,6.99,46.98,-4.73,-9.93,12.39,2.02,-5.28,11.94,3.66,4.58,1.93,4.76,0.90,1.08,5.97,2.70,2.19,0.22,-1.29,-0.01
CashflowAmortization_sq,,-2.59,-0.56,-0.96,2.15,-1.14,-3.45,0.70,0.95,1.86,0.33,2.39,1.06,1.93,3.83,0.42,0.74,2.07,2.40,-0.83,1.34,2.82,0.56
CashflowInvestingCashflow,-4865000,-4437000,-7086000,-13665000,-22991000,-9373000,-15068000,-16667000,-28095000,-2333000,-5880000,-10497000,-6702000,-5441000,-5937000,-3731000,-12011000,-3700000,-9358000,-8789000,-27047000,-20136000,-11890000
CashflowInvestingCashflow_yy,,,,,-372.57,-111.24,-112.65,-21.96,-22.20,75.11,60.98,37.02,76.14,-133.17,-0.97,64.46,-79.20,32.00,-57.62,-135.57,-125.19,-444.24,-27.05
CashflowInvestingCashflow_sy,,,,,27.46,-47.12,25.17,-21.96,-94.45,-14.39,-13.57,-8.70,-6.98,-38.50,-208.44,-27.08,16.08,-9.08,2.20,28.25,-15.23,5.27,-29.18
CashflowInvestingCashflow_qq,,8.80,-59.70,-92.85,-68.24,59.23,-60.76,-10.61,-68.57,91.69,-152.01,-78.51,36.15,18.82,-9.13,37.16,-221.93,69.20,-152.94,6.09,-207.75,25.55,40.95
CashflowInvestingCashflow_sq,,38.87,-53.83,-92.85,37.96,-15.15,-2.32,-97.75,-25.65,15.18,17.72,-83.18,-42.10,24.76,-83.77,4.62,21.86,19.46,5.56,32.50,-35.59,25.55,-18.42
CashflowCapex,5351000,4461000,7093000,13748000,26367000,9400000,15102000,16685000,28011000,3355000,5883000,10512000,5562000,5532000,6051000,3777000,11066000,3463000,10574000,8704000,27050000,20271000,12184000
CashflowCapex_yy,,,,,392.76,110.72,112.92,21.36,6.23,-64.31,-61.04,-37.00,-80.14,64.89,2.85,-64.07,98.97,-37.40,74.75,130.45,144.44,485.43,15.22
CashflowCapex_sy,,,,,-50.31,15.29,-19.47,-26.56,73.12,-6.60,17.04,19.19,-7.72,47.90,247.98,16.83,27.24,3.75,-15.85,-30.02,-21.92,-0.22,-14.36
CashflowCapex_qq,,-16.63,59.00,93.82,91.79,-64.35,60.66,10.48,67.88,-88.02,75.37,78.67,-47.09,-0.54,9.39,-37.58,193.00,-68.71,205.38,-17.69,210.79,-25.06,-39.90
CashflowCapex_sq,,-36.57,6.19,98.12,-44.55,-30.81,17.42,37.01,61.71,-40.91,21.67,63.07,17.42,2.68,59.05,-24.40,9.49,-49.40,1.59,-28.35,64.71,-25.06,-1.53
CashflowFinancingCashflow,-8911000,4766000,-3912000,41505000,-122000,25320000,12357000,-13601000,-9254000,8956000,153000,-3364000,-3261000,4998000,-9263000,-12193000,11721000,-1716000,-14175000,-18862000,-6867000,13907000,-8939000
CashflowFinancingCashflow_yy,,,,,98.63,431.25,415.87,-132.77,-7483.14,-64.63,-98.76,75.27,64.76,-44.19,-6147.49,-262.50,459.47,-134.33,-53.03,-54.69,-158.59,910.48,36.94
CashflowFinancingCashflow_sy,,,,,0.78,-2.92,-100.34,-90.93,33.47,18.05,13.28,7.19,20.20,11.70,12.14,25.32,-100.46,7.84,-33.62,-38.80,43.14,37.23,1.13
CashflowFinancingCashflow_qq,,153.48,-182.08,1160.96,-100.29,20848.66,-51.20,-210.07,31.97,196.79,-98.29,-2296.08,3.07,253.30,-285.32,-31.64,196.12,-114.64,-726.07,-33.07,63.59,302.52,-164.28
CashflowFinancingCashflow_sq,,18.87,13.72,0.57,9.56,52.10,-91.41,64.69,76.87,47.11,24.35,20.26,56.34,,12.50,-34.24,-148.04,84.58,-156.73,-33.07,7.01,87.17,-68.76
CashflowShareCapitalCash,0,,,43466000,0,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_yy,,,,,,,,-100.00,,,,,,,,,,,,,,,
CashflowShareCapitalCash_sy,,,,,,,,-100.00,,,,,,,,,,,,,,,
CashflowShareCapitalCash_qq,,,,,-100.00,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_sq,,,,,-100.00,,,,,,,,,,,,,,,,,,
CashflowDividend,1269000,1269000,0,0,0,124000,,,,,,,,,7376000,0,0,,7376000,0,0,,
CashflowDividend_yy,,,,,-100.00,-90.27,-100.00,,,-100.00,,,,,,,,,,,,,-100.00
CashflowDividend_sy,,,,,-100.00,-90.27,-23.14,,,-100.00,,,,,,,,,,,,,-100.00
CashflowDividend_qq,,,-99.97,-100.00,,,-100.00,,,,,,,,,-100.00,,,,-100.00,,,
CashflowDividend_sq,,,-99.97,-99.65,,,-100.00,,,,,,,,,-100.00,,,,-100.00,,,
CashflowNetCashflow,-1404000,348000,760000,38990000,-17749000,-13532000,-5292000,459000,3255000,-1702000,3458000,489000,-151000,2292000,-5147000,939000,9543000,-10111000,-590000,4635000,4385000,-6013000,12565000
CashflowNetCashflow_yy,,,,,-1164.14,-3988.39,-796.64,-98.82,118.34,87.42,165.33,6.46,-104.63,234.63,-248.85,91.99,6436.82,-541.22,88.53,393.62,-54.04,40.53,2228.91
CashflowNetCashflow_sy,,,,,7.00,22.81,9.01,-66.91,-5.96,84.13,77.02,-43.77,66.83,-39.43,-35.98,-12.85,-41.86,53.32,-62.77,-21.73,-9.84,-40.21,147.86
CashflowNetCashflow_qq,,124.79,118.29,5032.59,-145.52,23.76,60.89,108.68,608.49,-152.30,303.13,-85.86,-130.79,1621.73,-324.59,118.24,916.34,-205.96,94.16,885.27,-5.38,-237.11,308.98
CashflowNetCashflow_sq,,70.65,33.55,211.01,-43.73,-62.93,60.89,53.62,-95.48,108.32,-14.86,12.12,133.96,-103.30,50.32,13.81,129.99,-62.88,77.07,49.02,80.95,41.73,22.42
