,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentOtherLiabilities_sq,,1.14,-0.10,2.45,0.96,-0.36,1.89,3.29,2.06,-2.78,-0.04,5.25,2.97,3.28,2.22,3.31
BalanceCurrentLiabilities,19172000,20572000,42192000,31312000,40464000,30404000,33525000,44714000,67643000,66671000,111417000,154985000,187300000,90650000,129723000,232776000
BalanceCurrentLiabilities_yy,,,,,111.06,47.79,-20.54,42.80,67.17,119.28,232.34,246.61,176.89,35.97,16.43,50.19
BalanceCurrentLiabilities_sy,,,,,-7.62,0.32,0.51,21.58,12.61,-4.84,-5.28,-7.27,16.88,17.42,15.40,9.42
BalanceCurrentLiabilities_qq,,7.30,105.09,-25.79,29.23,-24.86,10.27,33.38,51.28,-1.44,67.11,39.10,20.85,-51.60,43.10,79.44
BalanceCurrentLiabilities_sq,,-3.11,3.73,6.02,-0.58,1.41,4.57,9.98,-5.45,-7.26,5.34,6.44,-0.94,9.29,0.56,10.26
BalanceCurrentTradePayablesv,13258000,10555000,18232000,16674000,14733000,10816000,17366000,15818000,30570000,31260000,38460000,115924000,70626000,52852000,57686000,231186000
BalanceCurrentTradePayablesv_yy,,,,,11.13,2.47,-4.75,-5.13,107.49,189.02,121.47,632.86,131.03,69.07,49.99,99.43
BalanceCurrentTradePayablesv_sy,,,,,5.32,-4.27,-13.78,-3.52,-3.52,6.47,7.76,15.49,27.16,23.08,17.70,11.54
BalanceCurrentTradePayablesv_qq,,-20.39,72.73,-8.55,-11.64,-26.59,60.56,-8.91,93.26,2.26,23.03,201.41,-39.08,-25.17,9.15,300.77
BalanceCurrentTradePayablesv_sq,,0.12,3.38,6.73,-8.43,-13.68,-7.76,10.87,-3.36,11.69,5.44,3.35,-0.36,-1.09,0.96,12.55
BalanceCurrentBorrowings,,,,,,,,,,31167000,61428000,38653000,45098000,847000,2981000,793000
BalanceCurrentBorrowings_yy,,,,,,,,,,,,,,-97.28,-95.15,-97.95
BalanceCurrentBorrowings_sy,,,,,,,,,,,,,,30.83,16.05,-7.80
BalanceCurrentBorrowings_qq,,,,,,,,,,,97.09,-37.08,16.67,-98.12,251.95,-73.40
BalanceCurrentBorrowings_sq,,,,,,,,,,,0.14,5.80,1.72,5.06,-3.13,2.46
BalanceCurrentObligations,,,,,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,174000,224000,195000,174000,176000,129000,150000,141000,133000,143000,128000,113000,315000,303000,287000,272000
BalanceCurrentLeasing_yy,,,,,1.15,-42.41,-23.08,-18.97,-24.43,10.85,-14.67,-19.86,136.84,111.89,124.22,140.71
BalanceCurrentLeasing_sy,,,,,1.15,1.73,-52.04,-37.36,-39.58,2.13,-10.74,-5.83,7.46,3.92,10.81,11.43
BalanceCurrentLeasing_qq,,28.74,-12.95,-10.77,1.15,-26.70,16.28,-6.00,-5.67,7.52,-10.49,-11.72,178.76,-3.81,-5.28,-5.23
BalanceCurrentLeasing_sq,,28.74,-100.00,-34.49,-1.70,-37.41,-9.43,-2.84,-2.50,5.25,-3.96,0.61,1.33,-0.55,-3.57,-5.72
BalanceCurrentOtherLiabilities,134000,285000,189000,114000,54000,344000,269000,166000,64000,559000,423000,295000,135000,844000,623000,432000
BalanceCurrentOtherLiabilities_yy,,,,,-59.70,20.70,42.33,45.61,18.52,62.50,57.25,77.71,110.94,50.98,47.28,46.44
BalanceCurrentOtherLiabilities_sy,,,,,0.76,13.62,2.81,8.82,-0.37,-4.53,-11.48,-9.45,-3.86,-4.74,11.18,11.08
BalanceCurrentOtherLiabilities_qq,,112.69,-33.68,-39.68,-52.63,537.04,-21.80,-38.29,-61.45,773.44,-24.33,-30.26,-54.24,525.19,-26.18,-30.66
BalanceCurrentOtherLiabilities_sq,,0.10,-0.65,9.23,-1.32,3.15,0.12,1.80,-0.98,-6.49,-2.72,-0.38,2.73,7.43,-2.84,-3.99
BalanceReckoning,5606000,9508000,23576000,14350000,25501000,19115000,15740000,28589000,36876000,3542000,10978000,,71126000,35804000,68146000,93000
BalanceReckoning_yy,,,,,354.89,101.04,-33.24,99.23,44.61,-81.47,-30.25,-100.00,92.88,910.84,520.75,
BalanceReckoning_sy,,,,,69.74,0.89,27.48,27.34,35.85,-11.68,2.06,-40.12,-9.30,14.06,18.26,
BalanceReckoning_qq,,69.60,147.96,-39.13,77.71,-25.04,-17.66,81.63,28.99,-90.39,209.94,-100.00,,-49.66,90.33,-99.86
BalanceReckoning_sq,,5.96,26.73,29.61,1.24,-16.69,13.42,30.61,27.07,-73.61,13.56,12.87,,-16.44,1.78,9.52
BalanceTotalEquityAndLiabilities,167398000,199459000,230399000,226804000,237042000,313823000,322684000,323212000,394297000,385409000,404836000,506830000,542277000,570623000,605893000,699341000
BalanceTotalEquityAndLiabilities_yy,,,,,41.60,57.34,40.05,42.51,66.34,22.81,25.46,56.81,37.53,48.06,49.66,37.98
BalanceTotalEquityAndLiabilities_sy,,,,,6.88,0.65,2.38,0.75,1.64,4.90,5.80,5.49,5.22,5.78,8.82,8.67
BalanceTotalEquityAndLiabilities_qq,,19.15,15.51,-1.56,4.51,32.39,2.82,0.16,21.99,-2.25,5.04,25.19,6.99,5.23,6.18,15.42
BalanceTotalEquityAndLiabilities_sq,,1.01,0.20,0.96,0.28,-0.28,0.67,2.04,0.53,0.17,0.34,2.05,2.10,1.34,2.38,3.62
CashflowOperatingCashflow,549000,-6496000,3411000,-25623000,11164000,15982000,-22831000,9921000,-50800000,7899000,-28308000,-2287000,13207000,52275000,-55846000,-36677000
CashflowOperatingCashflow_yy,,,,,1933.52,346.03,-769.33,138.72,-555.03,-50.58,-23.99,-123.05,126.00,561.79,-97.28,-1503.72
CashflowOperatingCashflow_sy,,,,,-17.38,20.34,-5.85,-29.66,10.13,-33.73,12.50,-19.86,46.54,73.28,10.88,14.68
CashflowOperatingCashflow_qq,,-1283.24,152.51,-851.19,143.57,43.16,-242.85,143.45,-612.05,115.55,-458.37,91.92,677.48,295.81,-206.83,34.32
CashflowOperatingCashflow_sq,,-23.72,-38.14,35.88,53.35,33.23,-61.87,5.06,-5.77,-7.15,-1.50,-17.14,34.73,4.93,-16.48,-1.85
CashflowAmortization,185000,123000,202000,204000,207000,271000,264000,269000,272000,268000,285000,295000,308000,320000,334000,343000
CashflowAmortization_yy,,,,,11.89,120.33,30.69,31.86,31.40,-1.11,7.95,9.67,13.24,19.40,17.19,16.27
CashflowAmortization_sy,,,,,8.67,2.86,7.52,0.95,3.57,-2.34,0.96,1.16,,3.80,14.18,8.89
CashflowAmortization_qq,,-33.51,64.23,0.99,1.47,30.92,-2.58,1.89,1.12,-1.47,6.34,3.51,4.41,3.90,4.38,2.69
CashflowAmortization_sq,,3.45,-0.65,2.32,1.47,-1.76,-1.11,0.54,0.82,-1.34,,2.00,,,4.08,2.69
CashflowInvestingCashflow,925000,-3890000,-1333000,2544000,9000,1333000,103000,406000,467000,-906000,-108000,-367000,-124000,436000,-99000,55000
CashflowInvestingCashflow_yy,,,,,-99.03,134.27,107.73,-84.04,5088.89,-167.97,-204.85,-190.39,-126.55,148.12,8.33,114.99
CashflowInvestingCashflow_sy,,,,,-6.28,30.63,18.30,-21.99,42.84,37.74,24.48,-11.76,-12.84,-75.57,-49.84,-42.74
CashflowInvestingCashflow_qq,,-520.54,65.73,290.85,-99.65,14711.11,-92.27,294.17,15.02,-294.00,88.08,-239.81,66.21,451.61,-122.71,155.56
CashflowInvestingCashflow_sq,,10.66,8.47,27.74,-58.18,37.54,-6.64,38.72,0.60,-40.34,6.77,-62.79,21.04,-22.88,-22.70,-46.74
CashflowCapex,3461000,840000,37000,-925000,1082000,607000,143000,138000,23000,569000,273000,221000,246000,461000,372000,175000
CashflowCapex_yy,,,,,-68.74,-27.74,286.49,114.92,-97.87,-6.26,90.91,60.14,969.57,-18.98,36.26,-20.81
CashflowCapex_sy,,,,,-14.95,-22.84,-46.20,-10.96,-59.22,-35.67,-24.50,91.61,65.46,-18.98,22.33,-33.54
CashflowCapex_qq,,-75.73,-95.60,-2600.00,216.97,-43.90,-76.44,-3.50,-83.33,2373.91,-52.02,-19.05,11.31,87.40,-19.31,-52.96
CashflowCapex_sq,,14.40,-45.46,-26.20,13.93,-27.16,-52.88,4.38,-49.17,-7.69,-53.40,84.62,-17.44,-24.73,-50.00,33.22
CashflowFinancingCashflow,-8384000,30618000,8705000,-5744000,-5115000,62163000,-2791000,-19552000,39139000,-3617000,5659000,53417000,-23838000,9065000,-2905000,-8445000
CashflowFinancingCashflow_yy,,,,,38.99,103.03,-132.06,-240.39,865.18,-105.82,302.76,373.20,-160.91,350.62,-151.33,-115.81
CashflowFinancingCashflow_sy,,,,,-64.98,-75.63,-24.61,-32.62,15.07,29.30,11.04,-85.92,-87.87,29.55,-37.04,59.11
CashflowFinancingCashflow_qq,,465.20,-71.57,-165.99,10.95,1315.31,-104.49,-600.54,300.18,-109.24,256.46,843.93,-144.63,138.03,-132.05,-190.71
CashflowFinancingCashflow_sq,,53.97,-33.39,-24.37,-46.55,-4.14,-10.16,60.34,-12.19,20.92,-8.04,-79.97,-4.86,53.62,5.68,22.06
CashflowShareCapitalCash,,,,,,34538000,,,,,,,,,,
CashflowShareCapitalCash_yy,,,,,,,,,,-100.00,,,,,,
CashflowShareCapitalCash_sy,,,,,,,,,,-100.00,,,,,,
CashflowShareCapitalCash_qq,,,,,,,-100.00,,,,,,,,,
CashflowShareCapitalCash_sq,,,,,,,-100.00,,,,,,,,,
CashflowDividend,,2303000,,4500000,2368000,2921000,,11697000,450000,1814000,1484000,0,15640000,3359000,2785000,18408000
CashflowDividend_yy,,,,,,26.83,,159.93,-81.00,-37.90,,-100.00,3375.56,85.17,87.67,
CashflowDividend_sy,,,,,,-100.00,,100.00,-74.36,-37.90,,-88.73,-62.37,-7.42,-42.51,
CashflowDividend_qq,,,-100.00,,-47.38,23.35,-100.00,,-96.15,303.11,-18.19,-100.00,,-78.52,-17.09,560.97
CashflowDividend_sq,,,-100.00,,-100.00,-100.00,100.00,,-100.00,-100.00,-59.09,-100.00,,-100.00,-27.55,-100.00
CashflowNetCashflow,-6911000,20233000,10783000,-28823000,6058000,79478000,-25519000,-9225000,-11194000,3376000,-22757000,50763000,-10755000,61776000,-58850000,-45067000
CashflowNetCashflow_yy,,,,,187.66,292.81,-336.66,67.99,-284.78,-95.75,10.82,650.28,3.92,1729.86,-158.60,-188.78
CashflowNetCashflow_sy,,,,,32.93,85.18,-99.42,-43.24,51.55,-18.19,79.72,-31.68,-51.41,37.38,-11.62,50.17
CashflowNetCashflow_qq,,392.77,-46.71,-367.30,121.02,1211.95,-132.11,63.85,-21.34,130.16,-774.08,323.07,-121.19,674.39,-195.26,23.42
CashflowNetCashflow_sq,,95.41,-77.89,65.58,-53.40,132.93,-95.48,63.85,29.16,66.67,-2.18,-39.60,-31.58,97.18,-15.99,18.08
