,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentReceivables,23100000,,,23200000,28500000,35000000,30400000,56800000,182400000,36100000,63300000,72700000,120300000,83300000,51700000,55500000,123700000,104200000,99300000,35400000,49900000,168400000,35100000,31700000,32100000,49100000,43900000
BalanceCurrentReceivables_yy,,,,,23.38,,,144.83,540.00,3.14,108.22,27.99,-34.05,130.75,-18.33,-23.66,2.83,25.09,92.07,-36.22,-59.66,61.61,-64.65,-10.45,-35.67,-70.84,25.07
BalanceCurrentReceivables_sy,,,,,-7.28,,,12.70,16.64,11.89,-2.60,19.57,-10.19,5.94,27.92,4.52,-4.14,-14.17,-2.48,-2.41,-6.18,7.62,-3.14,10.40,7.54,14.28,19.21
BalanceCurrentReceivables_qq,,-100.00,,,22.84,22.81,-13.14,86.84,221.13,-80.21,75.35,14.85,65.47,-30.76,-37.94,7.35,122.88,-15.76,-4.70,-64.35,40.96,237.47,-79.16,-9.69,1.26,52.96,-10.59
BalanceCurrentReceivables_sq,,-3.63,,,-6.54,-1.90,9.86,2.12,8.59,-0.09,-5.40,12.25,-4.64,9.95,5.15,-1.89,-6.97,0.75,-1.98,-1.46,-10.90,4.85,-3.16,10.31,-3.49,7.13,2.39
BalanceCurrentInvestments,24600000,,,25200000,4700000,4600000,4700000,,,500000,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,-80.89,,,-100.00,-100.00,-89.13,-100.00,,,-100.00,,,,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,24.84,,,8.78,22.21,12.26,26.38,,,-7.90,,,,,,,,,,,,,
BalanceCurrentInvestments_qq,,-100.00,,,-81.35,-2.13,2.17,-100.00,,,-100.00,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_sq,,-4.77,,,19.55,-52.55,1.80,-0.30,,,0.98,,,,,,,,,,,,,,,,
BalanceCash,178600000,,,165400000,173900000,162300000,168300000,183400000,217800000,194500000,68800000,98600000,136400000,101600000,148000000,104400000,126500000,48000000,63700000,55800000,76200000,63900000,83000000,100200000,104100000,101400000,107200000
BalanceCash_yy,,,,,-2.63,,,10.88,25.24,19.84,-59.12,-46.24,-37.37,-47.76,115.12,5.88,-7.26,-52.76,-56.96,-46.55,-39.76,33.12,30.30,79.57,36.61,58.69,29.16
BalanceCash_sy,,,,,-13.20,,,10.88,16.34,24.49,6.73,-2.98,7.76,-12.40,-5.70,-5.60,-3.37,3.56,5.38,10.24,-18.20,27.96,12.58,16.66,10.20,17.00,23.06
BalanceCash_qq,,-100.00,,,5.14,-6.67,3.70,8.97,18.76,-10.70,-64.63,43.31,38.34,-25.51,45.67,-29.46,21.17,-62.06,32.71,-12.40,36.56,-16.14,29.89,20.72,3.89,-2.59,5.72
BalanceCash_sq,,-9.84,,,5.14,-6.67,-1.98,-5.14,4.76,1.70,1.67,-0.04,27.72,-7.48,-2.46,-1.93,11.28,-15.98,10.42,4.48,5.33,0.32,-0.77,-12.91,21.11,9.24,5.57
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,9200000,,,,25100000,26900000,26900000,17600000,17400000,18400000,19000000,6000000,12000000,13100000,17700000,46000000,57800000,31100000,17100000,14900000,16500000,18500000,37200000,18500000,23400000,14100000,14100000
BalanceAssetsForSale_yy,,,,,172.83,,,,-30.68,-31.60,-29.37,-65.91,-31.03,-28.80,-6.84,666.67,381.67,137.40,-3.39,-67.61,-71.45,-40.51,117.54,24.16,41.82,-23.78,-62.10
BalanceAssetsForSale_sy,,,,,22.35,,,,-65.96,-100.00,-29.37,-65.91,-10.71,-62.28,-44.92,-42.02,-38.54,-90.79,-24.00,-51.94,-56.71,-39.94,-99.70,-100.00,-96.99,-87.33,-62.10
BalanceAssetsForSale_qq,,-100.00,,,,7.17,,-34.57,-1.14,5.75,3.26,-68.42,100.00,9.17,35.11,159.89,25.65,-46.19,-45.02,-12.87,10.74,12.12,101.08,-50.27,26.49,-39.74,
BalanceAssetsForSale_sq,,-46.70,,,,-2.20,,-34.57,-15.69,-20.06,-1.28,-6.10,3.30,,,-73.44,-35.28,-4.10,,-0.31,-51.40,-0.36,-26.75,-22.80,-0.06,0.14,
BalanceTotalAssets,2541000000,,,2341000000,2297600000,2288900000,2254800000,2278800000,2457800000,2294000000,2181400000,2206700000,2283400000,2243600000,2335600000,2497700000,2514000000,2682000000,2729100000,2651500000,2681000000,2749300000,2634900000,2644700000,2642900000,2662600000,2731100000
BalanceTotalAssets_yy,,,,,-9.58,,,-2.66,6.97,0.22,-3.26,-3.16,-7.10,-2.20,7.07,13.19,10.10,19.54,16.85,6.16,6.64,2.51,-3.45,-0.26,-1.42,-3.15,3.65
BalanceTotalAssets_sy,,,,,-4.77,,,-3.17,-1.75,-2.26,0.01,0.77,1.13,-2.17,5.92,6.88,0.10,2.38,0.75,1.64,5.60,6.24,5.49,4.88,6.00,8.82,8.67
BalanceTotalAssets_qq,,-100.00,,,-1.85,-0.38,-1.49,1.06,7.86,-6.66,-4.91,1.16,3.48,-1.74,4.10,6.94,0.65,6.68,1.76,-2.84,1.11,2.55,-4.16,0.37,-0.07,0.75,2.57
BalanceTotalAssets_sq,,-0.58,,,-1.85,-0.26,1.13,1.10,-0.52,0.37,-0.61,1.18,1.07,0.20,0.96,0.23,-0.28,0.20,2.08,0.62,0.43,0.34,1.87,2.10,1.34,2.38,3.62
BalanceCapital,1879100000,,,1750300000,1710500000,1717300000,1694200000,1820300000,1861700000,1930700000,1848300000,1887500000,1947100000,1963000000,1929100000,1966600000,1949800000,1958900000,1970800000,1976600000,1965200000,1962800000,1960100000,1975100000,1985800000,1998300000,2005400000
BalanceCapital_yy,,,,,-8.97,,,4.00,8.84,12.43,9.10,3.69,4.59,1.67,4.37,4.19,0.14,-0.21,2.16,0.51,0.79,0.20,-0.54,-0.08,1.05,1.81,2.31
BalanceCapital_sy,,,,,-1.00,,,-2.50,0.79,3.10,-1.94,2.54,0.17,-0.14,2.80,0.67,2.69,3.44,3.49,2.52,4.20,4.89,3.44,6.36,4.34,6.00,5.53
BalanceCapital_qq,,-100.00,,,-2.27,0.40,-1.35,7.44,2.27,3.71,-4.27,2.12,3.16,0.82,-1.73,1.94,-0.85,0.47,0.61,0.29,-0.58,-0.12,-0.14,0.77,0.54,0.63,0.36
BalanceCapital_sq,,-0.30,,,-2.96,0.44,-0.17,0.10,0.74,0.71,-1.29,0.87,-0.57,-0.45,0.06,1.01,2.44,0.47,-0.36,0.14,1.89,-0.09,-1.20,1.99,2.84,1.14,-1.17
BalanceShareCapital,43400000,,,43400000,43400000,43400000,43400000,44500000,44600000,45800000,46200000,46400000,46500000,46500000,46700000,46700000,46700000,46700000,46700000,46700000,46800000,46800000,46800000,46800000,46800000,46800000,46800000
BalanceShareCapital_yy,,,,,,,,2.53,2.76,5.53,6.45,4.27,4.26,1.53,1.08,0.65,0.43,0.43,,,0.21,0.21,0.21,0.21,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,-100.00,,,,,,2.53,0.22,2.69,0.87,0.43,0.22,,0.43,,,,,,0.21,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,2238600000,,,2240800000,2240800000,2240800000,1668300000,1697200000,1699700000,1741600000,1746000000,1748300000,1749900000,1751500000,1814400000,1814800000,1815500000,1815100000,1844100000,1844600000,1845600000,1845600000,1849800000,1849800000,1850300000,1850200000,1863000000
BalanceReserve_yy,,,,,0.10,,,-24.26,-24.15,-22.28,4.66,3.01,2.95,0.57,3.92,3.80,3.75,3.63,1.64,1.64,1.66,1.68,0.31,0.28,0.25,0.25,0.71
BalanceReserve_sy,,,,,,,,0.46,,0.04,0.04,3.01,1.74,0.15,0.34,0.87,2.89,2.35,1.93,1.64,1.89,1.24,0.52,0.82,0.60,0.69,0.74
BalanceReserve_qq,,-100.00,,,,,-25.55,1.73,0.15,2.47,0.25,0.13,0.09,0.09,3.59,0.02,0.04,-0.02,1.60,0.03,0.05,,0.23,,0.03,-0.01,0.69
BalanceReserve_sq,,,,,,,0.42,,,,0.32,,,,1.20,,,,0.07,,,,0.20,,,,0.10
BalanceNonshareCapital,190200000,,,178300000,175200000,176200000,173900000,134600000,131000000,64700000,58000000,54200000,53600000,50400000,32300000,33500000,32900000,31500000,31600000,30600000,28900000,28800000,28800000,28800000,27500000,27600000,27700000
BalanceNonshareCapital_yy,,,,,-7.89,,,-24.51,-25.23,-63.28,-66.65,-59.73,-59.08,-22.10,-44.31,-38.19,-38.62,-37.50,-2.17,-8.66,-12.16,-8.57,-8.86,-5.88,-4.84,-4.17,-3.82
BalanceNonshareCapital_sy,,,,,-4.10,,,11.52,-12.46,-2.46,-9.15,-2.28,-77.65,-55.77,-39.70,-16.94,-11.20,-1.72,,7.20,11.39,14.29,17.64,26.01,5.28,9.82,11.82
BalanceNonshareCapital_qq,,-100.00,,,-1.74,0.57,-1.31,-22.60,-2.67,-50.61,-10.36,-6.55,-1.11,-5.97,-35.91,3.72,-1.79,-4.26,0.32,-3.16,-5.56,-0.35,,,-4.51,0.36,0.36
BalanceNonshareCapital_sq,,-0.90,,,11.45,-1.39,-1.68,-1.27,-2.56,-0.25,0.50,-1.11,-5.45,-1.99,-4.62,-0.55,-0.90,-1.88,0.16,,5.54,,,,-0.04,0.57,0.66
BalanceNoncurrentLiabilities,362500000,,,329300000,328100000,324900000,317800000,239500000,212800000,213000000,192700000,163000000,98600000,117900000,200500000,371000000,344600000,544000000,564200000,549200000,582600000,556700000,544900000,550100000,529800000,523900000,537600000
BalanceNoncurrentLiabilities_yy,,,,,-9.49,,,-27.27,-35.14,-34.44,-39.36,-31.94,-53.67,-44.65,4.05,127.61,249.49,361.41,181.40,48.03,69.07,2.33,-3.42,0.16,-9.06,-5.89,-1.34
BalanceNoncurrentLiabilities_sy,,,,,-1.69,,,-4.44,1.33,3.33,5.36,7.42,6.52,-11.09,-3.68,5.18,-14.27,-18.92,-0.34,1.28,4.04,2.92,0.25,-3.30,-3.30,7.00,9.06
BalanceNoncurrentLiabilities_qq,,-100.00,,,-0.36,-0.98,-2.19,-24.64,-11.15,0.09,-9.53,-15.41,-39.51,19.57,70.06,85.04,-7.12,57.86,3.71,-2.66,6.08,-4.45,-2.12,0.95,-3.69,-1.11,2.62
BalanceNoncurrentLiabilities_sq,,-1.55,,,-1.23,0.30,-1.42,-0.48,-2.52,1.93,1.00,0.40,2.94,-4.28,2.70,-0.04,-2.61,0.65,-0.17,2.90,1.10,-3.36,-0.42,0.89,-0.47,1.57,1.42
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,400000,,,1600000,1500000,1400000,1300000,1200000,1100000,1000000,800000,800000,15000000,34000000,115700000,296800000,304900000,497900000,514200000,500500000,535900000,512200000,501400000,505400000,486400000,485500000,495700000
BalanceNoncurrentBorrowings_yy,,,,,275.00,,,-25.00,-26.67,-28.57,-38.46,-33.33,1263.64,3300.00,14362.50,37000.00,1932.67,1364.41,344.43,68.63,75.76,2.87,-2.49,0.98,-9.24,-5.21,-1.14
BalanceNoncurrentBorrowings_sy,,,,,5.85,,,-16.81,0.80,2.47,-4.59,4.53,-4.61,-10.13,8.58,6.63,-16.66,-21.01,-9.84,-8.64,4.67,2.66,-1.07,-2.00,-9.24,5.46,7.64
BalanceNoncurrentBorrowings_qq,,-100.00,,,-6.25,-6.67,-7.14,-7.69,-8.33,-9.09,-20.00,,1775.00,126.67,240.29,156.53,2.73,63.30,3.27,-2.66,7.07,-4.42,-2.11,0.80,-3.76,-0.19,2.10
BalanceNoncurrentBorrowings_sq,,-1.11,,,-6.14,-0.73,-2.83,-2.99,-3.64,0.98,1.43,,-3.07,0.17,1.03,-0.10,-6.42,0.09,-1.13,3.40,2.08,-3.71,-2.11,0.80,-3.38,0.64,1.82
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,362100000,,,327700000,326600000,323500000,316500000,238300000,211700000,212000000,191900000,162200000,83600000,83900000,84800000,74200000,39700000,46100000,50000000,48700000,46700000,44500000,43500000,44700000,43400000,38400000,41900000
BalanceNoncurrentOtherLiabilities_yy,,,,,-9.80,,,-27.28,-35.18,-34.47,-39.37,-31.93,-60.51,-60.42,-55.81,-54.25,-52.51,-45.05,-41.04,-34.37,17.63,-3.47,-13.00,-8.21,-7.07,-13.71,-3.68
BalanceNoncurrentOtherLiabilities_sy,,,,,-7.60,,,-2.16,-4.72,-3.14,-13.52,-19.00,-1.77,-3.40,0.97,4.37,-1.29,-3.52,3.02,1.85,4.66,2.20,6.55,5.62,25.84,21.41,15.39
BalanceNoncurrentOtherLiabilities_qq,,-100.00,,,-0.34,-0.95,-2.16,-24.71,-11.16,0.14,-9.48,-15.48,-48.46,0.36,1.07,-12.50,-46.50,16.12,8.46,-2.60,-4.11,-4.71,-2.25,2.76,-2.91,-11.52,9.11
BalanceNoncurrentOtherLiabilities_sq,,-4.18,,,-3.56,0.11,-2.16,-0.48,-1.85,1.49,-2.82,-0.15,1.14,-0.10,2.45,0.96,-0.36,1.89,3.29,2.06,-2.78,-0.04,5.25,2.97,3.28,2.22,3.31
BalanceCurrentLiabilities,109200000,,,83100000,83800000,70500000,68900000,84400000,252300000,85600000,82400000,102000000,184100000,112300000,173700000,126600000,186700000,147600000,162500000,95100000,104300000,201000000,101100000,90700000,99800000,112800000,160400000
BalanceCurrentLiabilities_yy,,,,,-23.26,,,1.56,201.07,21.42,19.59,20.85,-27.03,31.19,110.80,24.12,1.41,31.43,-6.45,-24.88,-44.13,36.18,-37.78,-4.63,-4.31,-43.88,58.65
BalanceCurrentLiabilities_sy,,,,,-7.97,,,-1.62,-4.62,7.78,-2.18,10.21,1.44,12.62,8.96,-7.62,0.32,0.51,21.58,12.61,-4.84,-5.28,-7.27,16.88,17.42,15.40,9.42
BalanceCurrentLiabilities_qq,,-100.00,,,0.84,-15.87,-2.27,22.50,198.93,-66.07,-3.74,23.79,80.49,-39.00,54.67,-27.12,47.47,-20.94,10.09,-41.48,9.67,92.71,-49.70,-10.29,10.03,13.03,42.20
BalanceCurrentLiabilities_sq,,-5.40,,,6.47,-14.98,13.92,6.70,0.05,-2.55,3.94,1.74,-3.11,3.73,6.02,-0.58,1.41,4.57,9.98,-5.45,-7.26,5.34,6.44,-0.94,9.29,0.56,10.26
BalanceCurrentTradePayablesv,77800000,,,56400000,53000000,35100000,28900000,46300000,211900000,46800000,35300000,54900000,137800000,65500000,115500000,68100000,131100000,38900000,52600000,33100000,33400000,26900000,37900000,24600000,35100000,45600000,72900000
BalanceCurrentTradePayablesv_yy,,,,,-31.88,,,-17.91,299.81,33.33,22.15,18.57,-34.97,39.96,227.20,24.04,-4.86,-40.61,-54.46,-51.40,-74.52,-30.85,-27.95,-25.68,5.09,69.52,92.35
BalanceCurrentTradePayablesv_sy,,,,,-1.51,,,-1.35,-14.18,10.17,-1.52,5.16,-5.00,12.66,14.06,5.32,-4.27,-13.78,-3.52,-3.52,6.47,7.76,15.49,27.16,23.08,17.70,11.54
BalanceCurrentTradePayablesv_qq,,-100.00,,,-6.03,-33.77,-17.66,60.21,357.67,-77.91,-24.57,55.52,151.00,-52.47,76.34,-41.04,92.51,-70.33,35.22,-37.07,0.91,-19.46,40.89,-35.09,42.68,29.91,59.87
BalanceCurrentTradePayablesv_sq,,-10.78,,,19.09,-16.34,16.71,-1.06,0.86,-3.69,-0.02,-2.20,0.12,3.38,6.73,-8.43,-13.68,-7.76,10.87,-3.36,11.69,5.44,3.35,-0.36,-1.09,0.96,12.55
BalanceCurrentBorrowings,400000,,,500000,500000,500000,500000,400000,400000,400000,400000,300000,300000,1100000,10800000,7900000,8100000,60500000,61200000,12700000,24800000,132300000,19100000,20000000,20000000,20200000,36200000
BalanceCurrentBorrowings_yy,,,,,25.00,,,-20.00,-20.00,-20.00,-20.00,-25.00,-25.00,175.00,2600.00,2533.33,2600.00,5400.00,466.67,60.76,206.17,118.68,-68.79,57.48,-19.35,-84.73,89.53
BalanceCurrentBorrowings_sy,,,,,-9.49,,,-7.88,1.70,-11.60,-11.81,-20.38,-20.88,0.96,1.04,-11.16,-30.69,-54.64,-32.94,-33.41,-16.00,-28.91,-6.35,4.11,30.83,16.05,-7.80
BalanceCurrentBorrowings_qq,,-100.00,,,,,,-20.00,,,,-25.00,,266.67,881.82,-26.85,2.53,646.91,1.16,-79.25,95.28,433.47,-85.56,4.71,,1.00,79.21
BalanceCurrentBorrowings_sq,,-13.14,,,,,,-4.06,,,,-1.46,,3.96,2.38,-0.09,-24.42,-1.88,1.36,-12.66,0.28,0.14,5.80,1.72,,-3.13,2.46
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,31000000,,,26200000,30300000,34900000,39500000,37700000,40000000,38400000,46700000,46800000,46000000,45700000,47400000,50600000,47500000,48200000,48700000,49300000,46100000,41800000,44100000,46100000,44700000,47000000,51300000
BalanceCurrentOtherLiabilities_yy,,,,,-2.26,,,43.89,32.01,10.03,18.23,24.14,15.00,19.01,1.50,8.12,3.26,5.47,2.74,-2.57,-2.95,-13.28,-9.45,-6.49,-3.04,12.44,16.33
BalanceCurrentOtherLiabilities_sy,,,,,,,,7.40,-0.36,5.48,,-3.52,,5.96,21.42,0.76,13.62,2.81,8.82,-0.37,-4.53,-11.48,-9.45,-3.86,-4.74,11.18,11.08
BalanceCurrentOtherLiabilities_qq,,-100.00,,,15.65,15.18,13.18,-4.56,6.10,-4.00,21.61,0.21,-1.71,-0.65,3.72,6.75,-6.13,1.47,1.04,1.23,-6.49,-9.33,5.50,4.54,-3.04,5.15,9.15
BalanceCurrentOtherLiabilities_sq,,-0.80,,,4.28,-10.58,17.94,-1.10,-0.18,-0.37,-0.32,0.22,0.10,-0.65,9.23,-1.32,3.15,0.12,1.80,-0.98,-6.49,-2.72,-0.38,2.73,7.43,-2.84,-3.99
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,2541000000,0,0,2341000000,2297600000,2288900000,2254800000,2278800000,2457800000,2294000000,2181400000,2206700000,2283400000,2243600000,2335600000,2497700000,2514000000,2682000000,2729100000,2651500000,2681000000,2749300000,2634900000,2644700000,2642900000,2662600000,2731100000
BalanceTotalEquityAndLiabilities_yy,,,,,-9.58,,,-2.66,6.97,0.22,-3.26,-3.16,-7.10,-2.20,7.07,13.19,10.10,19.54,16.85,6.16,6.64,2.51,-3.45,-0.26,-1.42,-3.15,3.65
BalanceTotalEquityAndLiabilities_sy,,,,,-4.77,,,-3.17,-1.75,0.22,0.01,0.77,1.17,-0.49,6.59,6.88,0.65,2.38,0.75,1.64,4.90,5.80,5.49,5.22,5.78,8.82,8.67
BalanceTotalEquityAndLiabilities_qq,,-100.00,,,-1.85,-0.38,-1.49,1.06,7.86,-6.66,-4.91,1.16,3.48,-1.74,4.10,6.94,0.65,6.68,1.76,-2.84,1.11,2.55,-4.16,0.37,-0.07,0.75,2.57
BalanceTotalEquityAndLiabilities_sq,,-0.58,,,-2.91,-0.26,1.13,1.10,-0.52,0.37,-0.55,1.24,1.01,0.20,0.96,0.28,-0.28,0.67,2.04,0.53,0.17,0.34,2.05,2.10,1.34,2.38,3.62
CashflowOperatingCashflow,-7300000,-17800000,-14900000,10200000,-2300000,-8700000,9700000,17800000,15400000,-16100000,-26400000,35700000,22400000,-34500000,43300000,30600000,6900000,-56700000,16100000,72600000,0,-116500000,149700000,17000000,20000000,7000000,24900000
CashflowOperatingCashflow_yy,,,,,68.49,51.12,165.10,74.51,769.57,-85.06,-372.16,100.56,45.45,-114.29,264.02,-14.29,-69.20,-64.35,-62.82,137.25,-100.00,-105.47,829.81,-76.58,,106.01,-83.37
CashflowOperatingCashflow_sy,,,,,74.62,28.48,25.28,46.72,35.94,34.95,-56.87,6.62,4.22,-15.22,48.79,-17.38,20.34,-5.85,-29.66,10.13,-33.73,12.50,-19.86,46.54,,10.88,14.68
CashflowOperatingCashflow_qq,,-143.84,16.29,168.46,-122.55,-278.26,211.49,83.51,-13.48,-204.55,-63.98,235.23,-37.25,-254.02,225.51,-29.33,-77.45,-921.74,128.40,350.93,-100.00,,228.50,-88.64,17.65,-65.00,255.71
CashflowOperatingCashflow_sq,,-26.37,40.97,-53.62,70.33,-40.36,72.88,6.13,1.46,-5.54,14.92,33.88,-23.72,-38.14,35.88,53.35,33.23,-61.87,5.06,-5.77,-7.15,,-17.14,34.73,4.93,-16.48,-1.85
CashflowAmortization,1000000,800000,600000,500000,700000,600000,600000,400000,400000,400000,400000,300000,200000,200000,400000,500000,300000,300000,300000,300000,200000,200000,300000,300000,300000,300000,400000
CashflowAmortization_yy,,,,,-30.00,-25.00,,-20.00,-42.86,-33.33,-33.33,-25.00,-50.00,-50.00,,66.67,50.00,50.00,-25.00,-40.00,-33.33,-33.33,,,50.00,50.00,33.33
CashflowAmortization_sy,,,,,-5.82,-9.15,,-20.00,3.72,-9.46,-9.66,6.94,-6.88,2.38,,8.67,2.86,7.52,0.95,3.57,-2.34,0.96,,,3.80,14.18,8.89
CashflowAmortization_qq,,-20.00,-25.00,-16.67,40.00,-14.29,,-33.33,,,,-25.00,-33.33,,100.00,25.00,-40.00,,,,-33.33,,50.00,,,,33.33
CashflowAmortization_sq,,-5.51,-1.40,-3.14,-2.05,-12.76,,-6.09,,,,3.58,3.45,,2.32,1.47,-1.76,,,,-1.34,,2.00,,,,2.69
CashflowInvestingCashflow,-6500000,11900000,-300000,-1700000,11800000,-2800000,-3600000,-2500000,19100000,-7100000,700000,-5800000,3500000,-20600000,-48800000,-79800000,12300000,-263900000,1100000,-7200000,-11100000,1800000,-2300000,19000000,-8400000,-2200000,-27000000
CashflowInvestingCashflow_yy,,,,,281.54,-123.53,-1100.00,-47.06,61.86,-153.57,119.44,-132.00,-81.68,-190.14,-7071.43,-1275.86,251.43,-1181.07,102.25,90.98,-190.24,100.68,-309.09,363.89,24.32,-222.22,-1073.91
CashflowInvestingCashflow_sy,,,,,67.54,18.20,-64.56,-10.41,-74.18,-60.77,-52.88,-90.86,-15.46,29.43,19.98,-6.28,30.63,18.30,-21.99,42.84,37.74,24.48,-11.76,-12.84,-75.57,-49.84,-42.74
CashflowInvestingCashflow_qq,,283.08,-102.52,-466.67,794.12,-123.73,-28.57,30.56,864.00,-137.17,109.86,-928.57,160.34,-688.57,-136.89,-63.52,115.41,-2245.53,100.42,-754.55,-54.17,116.22,-227.78,926.09,-144.21,73.81,-1127.27
CashflowInvestingCashflow_sq,,-36.14,-18.04,-69.01,-45.15,40.54,10.28,13.11,-22.49,-43.71,51.31,-20.68,10.66,8.47,27.74,-58.18,37.54,-6.64,38.72,0.60,-40.34,6.77,-62.79,21.04,-22.88,-22.70,-46.74
CashflowCapex,3300000,500000,0,0,100000,,100000,0,200000,,,100000,0,1000000,0,49100000,6500000,,500000,0,5600000,400000,5600000,400000,200000,1300000,1800000
CashflowCapex_yy,,,,,-96.97,-100.00,,,100.00,,-100.00,,-100.00,,,49000.00,,-100.00,,-100.00,-13.85,,1020.00,,-96.43,225.00,-67.86
CashflowCapex_sy,,,,,-5.58,-61.50,,,-63.80,,-48.88,,-1.06,,,-14.95,,-46.20,,-59.22,-35.67,,91.61,,-18.98,22.33,-33.54
CashflowCapex_qq,,-84.85,-100.00,,,-100.00,,-100.00,,-100.00,,,-100.00,,-100.00,,-86.76,-100.00,,-100.00,,-92.86,1300.00,-92.86,-50.00,550.00,38.46
CashflowCapex_sq,,-49.48,-20.33,,,-35.69,,-37.87,,0.50,,,14.40,,-26.20,,-27.16,-52.88,,-49.17,,-53.40,84.62,-17.44,-24.73,-50.00,33.22
CashflowFinancingCashflow,-4000000,-100000,-200000,-300000,-300000,-100000,-100000,-200000,-100000,-100000,-100000000,-100000,11900000,20300000,51700000,5800000,2900000,242100000,-1500000,-73300000,31500000,102400000,-128300000,-18800000,-7700000,-7500000,7900000
CashflowFinancingCashflow_yy,,,,,92.50,,50.00,33.33,66.67,,-99900.00,50.00,12000.00,20400.00,151.70,5900.00,-75.63,1092.61,-102.90,-1363.79,986.21,-57.70,-8453.33,74.35,-124.44,-107.32,106.16
