,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,,,
BalanceReserve,,102827000,,107623000,162307000,161426000,161387000,175089000,174684000,174723000,174772000,191049000,191238000,191755000,191646000,196421000,196581000,197363000,197210000,195534000
BalanceReserve_yy,,,,,,56.99,,62.69,7.63,8.24,8.29,9.12,9.48,9.75,9.65,2.81,2.79,2.92,2.90,-0.45
BalanceReserve_sy,,,,,,8.70,,10.27,12.22,10.93,10.58,2.51,2.67,8.31,6.10,4.81,3.78,1.29,2.16,3.31
BalanceReserve_qq,,,-100.00,,50.81,-0.54,-0.02,8.49,-0.23,0.02,0.03,9.31,0.10,0.27,-0.06,2.49,0.08,0.40,-0.08,-0.85
BalanceReserve_sq,,,,,,,,3.85,,0.01,,2.85,,0.27,,0.88,,,,3.33
BalanceNonshareCapital,,,,,,,,,,-672000,-672000,-770000,-811000,-912000,-931000,-945000,-1002000,-982000,-1030000,-1071000
BalanceNonshareCapital_yy,,,,,,,,,,,,,,-35.71,-38.54,-22.73,-23.55,-7.68,-10.63,-13.33
BalanceNonshareCapital_sy,,,,,,,,,,,,,,-0.06,-5.72,-15.73,5.39,6.38,4.73,4.46
BalanceNonshareCapital_qq,,,,,,,,,,,,-14.58,-5.32,-12.45,-2.08,-1.50,-6.03,2.00,-4.89,-3.98
BalanceNonshareCapital_sq,,,,,,,,,,,,-0.52,0.32,-9.68,0.84,-0.08,2.65,8.95,,2.44
BalanceNoncurrentLiabilities,,32261000,,30255000,30644000,34091000,32555000,51162000,92274000,90989000,85236000,89037000,88701000,93875000,94953000,56642000,54755000,62851000,60805000,68615000
BalanceNoncurrentLiabilities_yy,,,,,,5.67,,69.10,201.12,166.90,161.82,74.03,-3.87,3.17,11.40,-36.38,-38.27,-33.05,-35.96,21.14
BalanceNoncurrentLiabilities_sy,,,,,,5.51,,1.45,12.97,14.81,25.16,27.05,13.61,9.81,11.40,1.65,7.06,0.42,6.62,8.91
BalanceNoncurrentLiabilities_qq,,,-100.00,,1.29,11.25,-4.51,57.16,80.36,-1.39,-6.32,4.46,-0.38,5.83,1.15,-40.35,-3.33,14.79,-3.26,12.84
BalanceNoncurrentLiabilities_sq,,,-0.40,,,-0.98,-0.79,2.42,-0.10,,-0.39,2.48,-1.49,-1.19,-1.11,-0.67,,-0.46,-0.67,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,27161000,,25066000,25187000,27379000,26196000,42784000,83930000,50223000,37952000,43035000,40569000,53183000,47979000,55950000,46034000,62053000,60007000,67817000
BalanceNoncurrentBorrowings_yy,,,,,,0.80,,70.69,233.23,83.44,44.88,0.59,-51.66,5.89,26.42,30.01,13.47,16.68,25.07,21.21
BalanceNoncurrentBorrowings_sy,,,,,,-14.36,,,-14.68,-3.48,-5.38,-12.24,2.92,3.66,-9.38,-9.08,-21.92,-9.54,4.64,4.05
BalanceNoncurrentBorrowings_qq,,,-100.00,,0.48,8.70,-4.32,63.32,96.17,-40.16,-24.43,13.39,-5.73,31.09,-9.79,16.61,-17.72,34.80,-3.30,13.02
BalanceNoncurrentBorrowings_sq,,,-2.80,,-1.78,-8.18,-2.30,-0.26,-1.34,-3.29,-2.58,-1.65,-2.64,-5.00,-3.84,-4.06,-1.50,-4.11,-4.20,-1.82
BalanceNoncurrentObligations,,,,,,,,,,40000000,40000000,40000000,40000000,40000000,40000000,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,-100.00,-100.00,-100.00,-100.00,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,-100.00,-100.00,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,-100.00,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,5100000,,5189000,5457000,6712000,6359000,8378000,8344000,766000,7284000,6002000,8132000,692000,6974000,692000,8721000,798000,798000,798000
BalanceNoncurrentOtherLiabilities_yy,,,,,,31.61,,61.46,52.90,-88.59,14.55,-28.36,-2.54,-9.66,-4.26,-88.47,7.24,15.32,-88.56,15.32
BalanceNoncurrentOtherLiabilities_sy,,,,,,9.15,,1.49,4.49,15.80,17.82,2.48,3.02,8.04,8.16,,10.26,0.91,0.53,2.48
BalanceNoncurrentOtherLiabilities_qq,,,-100.00,,5.16,23.00,-5.26,31.75,-0.41,-90.82,850.91,-17.60,35.49,-91.49,907.80,-90.08,1160.26,-90.85,,
BalanceNoncurrentOtherLiabilities_sq,,,0.10,,,0.26,-0.06,3.24,-0.20,0.65,-0.02,1.12,-0.32,2.20,,-1.06,0.55,1.38,,
BalanceCurrentLiabilities,,339952000,,331119000,435753000,527107000,468373000,389640000,461829000,362039000,267786000,295778000,268144000,368970000,219293000,307543000,405098000,546119000,416954000,466973000
BalanceCurrentLiabilities_yy,,,,,,55.05,,17.67,5.98,-31.32,-42.83,-24.09,-41.94,1.91,-18.11,3.98,51.07,48.01,90.14,51.84
BalanceCurrentLiabilities_sy,,,,,,8.43,,3.58,9.61,13.08,16.55,10.23,7.72,1.91,-1.16,6.45,4.70,14.90,21.56,24.10
BalanceCurrentLiabilities_qq,,,-100.00,,31.60,20.96,-11.14,-16.81,18.53,-21.61,-26.03,10.45,-9.34,37.60,-40.57,40.24,31.72,34.81,-23.65,12.00
BalanceCurrentLiabilities_sq,,,1.20,,1.22,-3.05,3.61,0.14,1.38,3.82,-0.04,2.03,0.36,2.87,-1.46,7.69,0.85,6.43,-0.14,2.50
BalanceCurrentTradePayablesv,,141526000,,138323000,186711000,398661000,339564000,261561000,332051000,172109000,170665000,166885000,152258000,248017000,96973000,128116000,129786000,219976000,128815000,193090000
BalanceCurrentTradePayablesv_yy,,,,,,181.69,,89.09,77.84,-56.83,-49.74,-36.20,-54.15,44.10,-43.18,-23.23,-14.76,-11.31,32.84,50.71
BalanceCurrentTradePayablesv_sy,,,,,,12.69,,1.81,13.17,11.52,18.78,22.89,17.14,18.92,11.36,5.96,8.43,11.78,5.71,14.86
BalanceCurrentTradePayablesv_qq,,,-100.00,,34.98,113.52,-14.82,-22.97,26.95,-48.17,-0.84,-2.21,-8.76,62.89,-60.90,32.12,1.30,69.49,-41.44,49.90
BalanceCurrentTradePayablesv_sq,,,0.06,,-0.46,3.82,1.31,-5.22,4.32,5.00,4.28,1.18,5.03,9.09,0.41,-0.28,-1.18,8.84,-3.08,5.22
BalanceCurrentBorrowings,,68265000,,70802000,52005000,46192000,32738000,40108000,15701000,39664000,25156000,38270000,54952000,60178000,47110000,66898000,63806000,44876000,38961000,33738000
BalanceCurrentBorrowings_yy,,,,,,-32.33,,-43.35,-69.81,-14.13,-23.16,-4.58,249.99,51.72,87.27,74.81,16.11,-25.43,-17.30,-49.57
BalanceCurrentBorrowings_sy,,,,,,-2.05,,-26.40,-6.86,-0.40,-3.47,7.15,7.76,7.37,0.73,-3.59,16.25,14.46,15.32,20.92
BalanceCurrentBorrowings_qq,,,-100.00,,-26.55,-11.18,-29.13,22.51,-60.85,152.62,-36.58,52.13,43.59,9.51,-21.72,42.00,-4.62,-29.67,-13.18,-13.41
BalanceCurrentBorrowings_sq,,,-3.50,,-5.44,-10.98,2.54,-0.81,1.76,-6.82,0.24,3.58,-1.54,-3.16,0.67,2.96,2.05,-2.69,,0.60
BalanceCurrentObligations,,,,,,,,,,,380000,,386000,,380000,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,,,,-100.00,,-100.00,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,,,,-100.00,,-49.81,
BalanceCurrentObligations_qq,,,,,,,,,,,,-100.00,,-100.00,,-100.00,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,-99.30,,-100.00,,-99.19,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,122023000,,106560000,171470000,54762000,61665000,73164000,101017000,41714000,54249000,84634000,50980000,22237000,45359000,98130000,194799000,243173000,216686000,205997000
BalanceCurrentOtherLiabilities_yy,,,,,,-55.12,,-31.34,-41.09,-23.83,-12.03,15.68,-49.53,-46.69,-16.39,15.95,282.11,993.55,377.71,109.92
BalanceCurrentOtherLiabilities_sy,,,,,,8.20,,11.48,1.60,18.59,19.82,10.04,0.76,10.14,5.13,22.54,17.59,13.40,18.50,23.94
BalanceCurrentOtherLiabilities_qq,,,-100.00,,60.91,-68.06,12.61,18.65,38.07,-58.71,30.05,56.01,-39.76,-56.38,103.98,116.34,98.51,24.83,-10.89,-4.93
BalanceCurrentOtherLiabilities_sq,,,4.86,,-3.26,4.28,5.13,2.77,-1.48,6.16,0.30,2.63,-0.16,2.03,-1.75,9.23,-0.72,3.44,-0.82,7.86
BalanceReckoning,,8138000,,15434000,25567000,27492000,34406000,14807000,13060000,108552000,17336000,5989000,9568000,38538000,29471000,14399000,16707000,38094000,32492000,34148000
BalanceReckoning_yy,,,,,,237.82,,-4.06,-48.92,294.85,-49.61,-59.55,-26.74,-64.50,70.00,140.42,74.61,-1.15,10.25,137.16
BalanceReckoning_sy,,,,,,43.84,,9.11,6.30,16.85,-29.09,0.37,-3.24,-15.94,-5.46,-8.34,-4.72,36.60,10.25,2.78
BalanceReckoning_qq,,,-100.00,,65.65,7.53,25.15,-56.96,-11.80,731.18,-84.03,-65.45,59.76,302.78,-23.53,-51.14,16.03,128.01,-14.71,5.10
BalanceReckoning_sq,,,-0.50,,-2.39,9.76,0.41,-2.15,-10.78,-0.66,1.26,-1.22,-1.13,-8.93,0.81,-10.52,-1.89,3.33,-0.36,4.68
BalanceTotalEquityAndLiabilities,0,495221000,0,489238000,657097000,764510000,708643000,640010000,772250000,675918000,579117000,594519000,568100000,680857000,528840000,560311000,654024000,790445000,654980000,709334000
BalanceTotalEquityAndLiabilities_yy,,,,,,54.38,,30.82,17.52,-11.59,-18.28,-7.11,-26.44,0.73,-8.68,-5.75,15.12,16.10,23.85,26.60
BalanceTotalEquityAndLiabilities_sy,,,,,,8.61,,8.47,10.56,6.99,7.68,7.19,4.97,7.77,7.37,2.92,6.59,7.08,9.93,11.96
BalanceTotalEquityAndLiabilities_qq,,,-100.00,,34.31,16.35,-7.31,-9.69,20.66,-12.47,-14.32,2.66,-4.44,19.85,-22.33,5.95,16.73,20.86,-17.14,8.30
BalanceTotalEquityAndLiabilities_sq,,,0.46,,1.51,0.09,2.54,1.41,0.40,1.04,0.55,3.07,0.48,2.01,0.82,-0.08,1.95,3.53,0.54,0.06
CashflowOperatingCashflow,50647000,15140000,-803000,4750000,817000,70058000,-5048000,-112011000,27666000,249827000,-161312000,-60703000,-36157000,73513000,-34745000,14460000,82320000,6888000,-89845000,2449000
CashflowOperatingCashflow_yy,,,,,-98.39,362.73,-528.64,-2458.13,3286.29,256.60,-3095.56,45.81,-230.69,-70.57,78.46,123.82,327.67,-90.63,-158.58,-83.06
CashflowOperatingCashflow_sy,,,,,34.25,5.70,13.20,36.05,17.68,-25.83,-1.96,-17.95,9.45,41.33,32.71,21.22,-16.07,-40.52,-17.79,0.11
CashflowOperatingCashflow_qq,,-70.11,-105.30,691.53,-82.80,8475.03,-107.21,-2118.92,124.70,803.01,-164.57,62.37,40.44,303.32,-147.26,141.62,469.29,-91.63,-1404.37,102.73
CashflowOperatingCashflow_sq,,47.86,-34.73,-28.69,27.81,71.44,-55.78,3.34,-0.76,20.72,-4.27,21.40,23.64,86.27,-47.40,-5.55,-19.73,29.12,-15.36,-12.02
CashflowAmortization,2623000,2622000,2588000,2582000,2601000,2743000,2882000,2942000,3302000,3421000,3322000,3735000,3705000,3786000,3824000,3672000,3657000,3768000,4260000,3951000
CashflowAmortization_yy,,,,,-0.84,4.61,11.36,13.94,26.95,24.72,15.27,26.95,12.20,10.67,15.11,-1.69,-1.30,-0.48,11.40,7.60
CashflowAmortization_sy,,,,,6.69,9.38,12.75,12.88,10.43,0.41,11.04,8.15,10.24,3.32,1.41,2.87,0.77,5.65,10.77,11.26
CashflowAmortization_qq,,-0.04,-1.30,-0.23,0.74,5.46,5.07,2.08,12.24,3.60,-2.89,12.43,-0.80,2.19,1.00,-3.97,-0.41,3.04,13.06,-7.25
CashflowAmortization_sq,,1.24,-1.15,0.38,0.80,4.61,0.74,1.55,3.62,3.60,0.34,2.04,1.42,,-0.02,1.12,0.83,1.46,,0.21
CashflowInvestingCashflow,-537000,-1041000,-218000,-1478000,27000,-1091000,-63000,-10226000,-1708000,-390000,-3951000,-1742000,-1545000,5376000,-1813000,303000,-6361000,-6786000,-8260000,865000
CashflowInvestingCashflow_yy,,,,,105.03,-4.80,71.10,-591.88,-6425.93,64.25,-6171.43,82.96,9.54,1478.46,54.11,117.39,-311.72,-226.23,-355.60,185.48
CashflowInvestingCashflow_sy,,,,,-21.06,-19.14,52.36,-83.13,-104.43,42.04,-80.88,-31.29,9.54,-17.85,14.86,34.08,-73.64,6.98,27.03,-27.92
CashflowInvestingCashflow_qq,,-93.85,79.06,-577.98,101.83,-4140.74,94.23,-16131.75,83.30,77.17,-913.08,55.91,11.31,447.96,-133.72,116.71,-2199.34,-6.68,-21.72,110.47
CashflowInvestingCashflow_sq,,-9.50,23.70,54.39,13.27,-76.88,49.03,-27.09,-49.78,-16.99,-7.41,2.85,15.25,21.28,-17.72,-26.40,-16.05,-9.36,36.05,-6.84
CashflowCapex,328000,938000,448000,1500000,539000,1855000,1050000,9674000,1137000,-5000,4569000,3132000,1896000,-4149000,2154000,-130000,6768000,7259000,8032000,-1168000
CashflowCapex_yy,,,,,64.33,97.76,134.38,544.93,110.95,-100.27,335.14,-67.62,66.75,-82880.00,-52.86,-104.15,256.96,274.96,272.89,-798.46
CashflowCapex_sy,,,,,78.34,-7.90,-1.83,18.52,28.68,-8.87,28.10,-6.18,17.64,26.49,-6.07,-52.08,14.47,-6.02,27.56,30.28
CashflowCapex_qq,,185.98,-52.24,234.82,-64.07,244.16,-43.40,821.33,-88.25,-100.44,91480.00,-31.45,-39.46,-318.83,151.92,-106.04,5306.15,7.25,10.65,-114.54
CashflowCapex_sq,,52.88,-20.98,-20.04,-20.54,54.03,-37.33,16.52,37.67,29.06,-18.35,25.75,14.43,15.33,-19.40,-1.44,30.74,29.46,-24.88,-15.02
CashflowFinancingCashflow,-22542000,17242000,-21217000,19111000,36936000,-12055000,-34215000,36018000,5729000,-6415000,2184000,8978000,4175000,-17076000,-22698000,-37423000,-11816000,-3058000,-8838000,-8620000
CashflowFinancingCashflow_yy,,,,,263.85,-169.92,-61.26,88.47,-84.49,46.79,106.38,-75.07,-27.13,-166.19,-1139.29,-516.83,-383.02,82.09,61.06,76.97
CashflowFinancingCashflow_sy,,,,,13.35,-47.50,15.96,13.03,25.25,-51.57,51.02,15.74,-66.19,-5.02,-9.12,-90.01,78.09,-12.66,1.70,23.12
CashflowFinancingCashflow_qq,,176.49,-223.05,190.07,93.27,-132.64,-183.82,205.27,-84.09,-211.97,134.05,311.08,-53.50,-509.01,-32.92,-64.87,68.43,74.12,-189.01,2.47
CashflowFinancingCashflow_sq,,63.77,-5.70,-36.31,-71.43,14.22,26.19,-14.43,-21.68,-15.73,54.15,-1.18,-13.02,25.24,30.83,-55.53,58.58,-15.72,-8.55,8.37
CashflowShareCapitalCash,,,,,59200000,-3090000,,,,,,,,,,,,,,
CashflowShareCapitalCash_yy,,,,,,,,,-100.00,100.00,,,,,,,,,,
CashflowShareCapitalCash_sy,,,,,,,,,-62.36,-100.00,,,,,,,,,,
CashflowShareCapitalCash_qq,,,,,,-105.22,100.00,,,,,,,,,,,,,
CashflowShareCapitalCash_sq,,,,,,31.72,-100.00,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,5742000,5743000,,,8039000,7810000,,,10107000,0,,
CashflowDividend_yy,,,,,,,,,,,,,40.00,35.99,,,25.72,-100.00,,
CashflowDividend_sy,,,,,,,,,,,,,-33.34,-64.06,,,-100.00,-38.62,,
CashflowDividend_qq,,,,,,,,,,0.02,-100.00,,,-2.85,-100.00,,,-100.00,,
CashflowDividend_sq,,,,,,,,,,-100.00,-100.00,,,-100.00,-100.00,,,-50.00,,
CashflowNetCashflow,27568000,31341000,-22238000,22383000,37780000,56912000,-39326000,-86219000,31687000,243022000,-163079000,-53467000,-33527000,61813000,-59256000,-22660000,64143000,-2956000,-106943000,-5306000
CashflowNetCashflow_yy,,,,,37.04,81.59,-76.84,-485.20,-16.13,327.01,-314.68,37.99,-205.81,-74.56,63.66,57.62,291.32,-104.78,-80.48,76.58
CashflowNetCashflow_sy,,,,,56.16,-25.21,86.72,-27.30,-16.13,16.21,-76.69,17.61,50.00,48.55,63.66,-29.88,-7.18,66.23,-31.94,-2.04
CashflowNetCashflow_qq,,13.69,-170.95,200.65,68.79,50.64,-169.10,-119.24,136.75,666.95,-167.10,67.21,37.29,284.37,-195.86,61.76,383.07,-104.61,-3517.83,95.04
CashflowNetCashflow_sq,,143.37,-76.67,37.17,-55.58,100.00,4.18,-63.13,7.33,25.90,23.18,54.94,37.29,77.91,-80.20,25.54,50.67,110.95,-104.50,-0.61
